"Density","Energy","Heat_Flux","Laminar_Viscosity","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Skin_Friction_Coefficient:0","Skin_Friction_Coefficient:1","Skin_Friction_Coefficient:2","Temperature","Y_Plus","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.64345,1.7965e+05,0,1.5511e-05,1.4163,288.34,0.64969,0,46018,-7.7509e+17,0,0,0,240.79,0,,30.19,22.09,0,0
0.63913,1.785e+05,0,1.5489e-05,1.4204,286.99,0.64357,0,45627,-7.8064e+17,0,0,0,240.37,0,,30.263,22.163,0,0
0.6361,1.777e+05,0,1.5471e-05,1.4238,286.11,0.60563,0,45344,-7.8466e+17,0,0,0,240.01,0,,30.337,22.236,0,0
0.63342,1.77e+05,0,1.5453e-05,1.4271,285.34,0.55911,0,45091,-7.8826e+17,0,0,0,239.67,0,,30.41,22.31,0,0
0.63074,1.7629e+05,0,1.5435e-05,1.4303,284.58,0.51258,0,44837,-7.9187e+17,0,0,0,239.34,0,,30.483,22.383,0,0
0.62806,1.7559e+05,0,1.5417e-05,1.4336,283.82,0.46606,0,44583,-7.9547e+17,0,0,0,239,0,,30.556,22.456,0,0
0.62538,1.7488e+05,0,1.54e-05,1.4368,283.06,0.41954,0,44329,-7.9908e+17,0,0,0,238.66,0,,30.629,22.529,0,0
0.62367,1.7443e+05,0,1.5386e-05,1.4391,282.59,0.38726,0,44161,-8.0146e+17,0,0,0,238.41,0,,30.702,22.602,0,0
0.62199,1.7398e+05,0,1.5373e-05,1.4414,282.13,0.35549,0,43997,-8.0379e+17,0,0,0,238.16,0,,30.775,22.675,0,0
0.62032,1.7353e+05,0,1.536e-05,1.4437,281.68,0.32373,0,43833,-8.0612e+17,0,0,0,237.91,0,,30.848,22.748,0,0
0.61865,1.7309e+05,0,1.5347e-05,1.446,281.22,0.29196,0,43669,-8.0845e+17,0,0,0,237.67,0,,30.921,22.821,0,0
0.61706,1.7266e+05,0,1.5335e-05,1.4482,280.78,0.26632,0,43513,-8.1066e+17,0,0,0,237.43,0,,30.994,22.894,0,0
0.61602,1.7237e+05,0,1.5326e-05,1.4495,280.47,0.27728,0,43409,-8.1214e+17,0,0,0,237.26,0,,31.068,22.968,0,0
0.61498,1.7207e+05,0,1.5317e-05,1.4509,280.15,0.28824,0,43305,-8.1361e+17,0,0,0,237.1,0,,31.141,23.041,0,0
0.61446,1.7192e+05,0,1.5312e-05,1.4515,279.98,0.32178,0,43252,-8.1437e+17,0,0,0,237.01,0,,31.214,23.114,0,0
0.61414,1.7182e+05,0,1.5309e-05,1.4518,279.87,0.36429,0,43219,-8.1483e+17,0,0,0,236.95,0,,31.287,23.187,0,0
0.61391,1.7173e+05,0,1.5306e-05,1.4521,279.77,0.40055,0,43192,-8.1522e+17,0,0,0,236.89,0,,31.36,23.26,0,0
0.61385,1.7169e+05,0,1.5304e-05,1.4522,279.74,0.42141,0,43180,-8.1539e+17,0,0,0,236.84,0,,31.433,23.333,0,0
0.6138,1.7165e+05,0,1.5301e-05,1.4522,279.7,0.44227,0,43168,-8.1557e+17,0,0,0,236.8,0,,31.506,23.406,0,0
0.6138,1.7162e+05,0,1.5299e-05,1.4522,279.68,0.4092,0,43161,-8.1567e+17,0,0,0,236.76,0,,31.579,23.479,0,0
0.61378,1.7157e+05,0,1.5297e-05,1.4522,279.63,0.37215,0,43151,-8.1581e+17,0,0,0,236.71,0,,31.652,23.552,0,0
0.61382,1.7152e+05,0,1.5294e-05,1.4519,279.57,0.32212,0,43143,-8.1592e+17,0,0,0,236.65,0,,31.725,23.625,0,0
0.61407,1.7151e+05,0,1.5291e-05,1.4513,279.53,0.23932,0,43153,-8.1578e+17,0,0,0,236.61,0,,31.799,23.698,0,0
0.61478,1.7159e+05,0,1.5292e-05,1.45,279.61,0.11002,0,43204,-8.1506e+17,0,0,0,236.62,0,,31.872,23.772,0,0
0.61655,1.7199e+05,0,1.5308e-05,1.4464,279.9,-0.026273,0,43383,-8.1251e+17,0,0,0,236.92,0,,31.945,23.845,0,0
