,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
769,1.3507,347230.0,0,1.8709e-05,0.69191,332.92,-1.4433,0,122470.0,3.1062e+17,0,0,0,305.3,0,,56.214,48.114,0,0,168701.74246258894,0.9998314496907935
770,1.343,345530.0,0,1.8675e-05,0.70121,335.11,-1.3282,0,121490.0,2.9661e+17,0,0,0,304.58,0,,56.287,48.187,0,0,168741.67763089854,0.9998260280811962
771,1.3349,343790.0,0,1.8636e-05,0.71181,337.68,-0.84745,0,120430.0,2.8162e+17,0,0,0,303.75,0,,56.36,48.26,0,0,168872.3525170012,0.9998197275577098
772,1.3251,341580.0,0,1.8589e-05,0.72385,340.29,-0.73063,0,119150.0,2.6346e+17,0,0,0,302.75,0,,56.433,48.333,0,0,168921.1081482022,0.999812204566968
773,1.3145,339150.0,0,1.8538e-05,0.73662,342.9,-0.73634,0,117770.0,2.438e+17,0,0,0,301.66,0,,56.506,48.406,0,0,168946.8438240136,0.9998040615971528
774,1.3029,336520.0,0,1.8483e-05,0.7502,345.48,-0.7602,0,116280.0,2.2272e+17,0,0,0,300.51,0,,56.579,48.479,0,0,168946.75224853368,0.9997956221717637
775,1.2909,333810.0,0,1.843e-05,0.76363,347.77,-0.86018,0,114780.0,2.0143e+17,0,0,0,299.38,0,,56.653,48.553,0,0,168911.14659017455,0.9997874974775363
776,1.2789,331110.0,0,1.8376e-05,0.77714,349.98,-0.9302,0,113290.0,1.8015e+17,0,0,0,298.24,0,,56.726,48.626,0,0,168904.916016977,0.9997793694559944
777,1.2672,328490.0,0,1.8321e-05,0.79106,352.29,-0.81181,0,111810.0,1.5915e+17,0,0,0,297.08,0,,56.799,48.699,0,0,168982.9539546537,0.9997711418295548
778,1.2549,325750.0,0,1.8262e-05,0.80553,354.5,-0.78232,0,110270.0,1.373e+17,0,0,0,295.85,0,,56.872,48.772,0,0,169063.91510068497,0.9997624796083349
779,1.2422,322920.0,0,1.8202e-05,0.82032,356.63,-0.76756,0,108690.0,1.1488e+17,0,0,0,294.59,0,,56.945,48.845,0,0,169138.2293972398,0.9997537423828522
780,1.229,319930.0,0,1.8139e-05,0.8356,358.58,-0.68154,0,107050.0,9.1557e+16,0,0,0,293.26,0,,57.018,48.918,0,0,169201.90146519503,0.9997446038730045
781,1.2156,316920.0,0,1.8073e-05,0.85136,360.49,-0.61682,0,105380.0,6.792e+16,0,0,0,291.89,0,,57.091,48.991,0,0,169298.86866218445,0.9997353023875025
782,1.2019,313870.0,0,1.8006e-05,0.86747,362.34,-0.55715,0,103700.0,4.4018e+16,0,0,0,290.49,0,,57.164,49.064,0,0,169437.96918792272,0.9997258970071449
783,1.188,310740.0,0,1.7935e-05,0.88411,364.07,-0.48171,0,101980.0,1.9574e+16,0,0,0,289.02,0,,57.237,49.137,0,0,169601.86070404135,0.9997160842893327
784,1.1738,307550.0,0,1.7863e-05,0.90089,365.59,-0.42735,0,100240.0,-5061300000000000.0,0,0,0,287.53,0,,57.31,49.21,0,0,169750.97646111893,0.9997063163673231
785,1.1596,304330.0,0,1.779e-05,0.91774,366.97,-0.38366,0,98505.0,-2.9756e+16,0,0,0,286.02,0,,57.383,49.284,0,0,169912.17981287287,0.9996965316488668
786,1.1453,301100.0,0,1.7717e-05,0.93456,368.1,-0.34343,0,96777.0,-5.4294e+16,0,0,0,284.51,0,,57.457,49.357,0,0,170068.47338702955,0.9996869271823284
787,1.1311,297870.0,0,1.7642e-05,0.95138,369.06,-0.30249,0,95062.0,-7.8643e+16,0,0,0,282.98,0,,57.53,49.43,0,0,170234.1618443829,0.9996772885331714
788,1.1169,294650.0,0,1.7567e-05,0.96819,369.89,-0.26089,0,93357.0,-1.0286e+17,0,0,0,281.44,0,,57.603,49.503,0,0,170400.39408567542,0.9996677275626278
789,1.1027,291420.0,0,1.7492e-05,0.98502,370.5,-0.21737,0,91667.0,-1.2685e+17,0,0,0,279.89,0,,57.676,49.576,0,0,170580.54094247933,0.9996582293691139
790,1.0886,288190.0,0,1.7415e-05,1.0018,370.95,-0.17397,0,89991.0,-1.5065e+17,0,0,0,278.33,0,,57.749,49.649,0,0,170757.61078374984,0.9996487990270684
791,1.0745,284960.0,0,1.7339e-05,1.0186,371.27,-0.13032,0,88327.0,-1.7429e+17,0,0,0,276.77,0,,57.822,49.722,0,0,170938.72059845043,0.9996395482817766
792,1.0605,281740.0,0,1.7262e-05,1.0352,371.35,-0.08317,0,86689.0,-1.9754e+17,0,0,0,275.21,0,,57.895,49.795,0,0,171100.14538637648,0.9996304220455013
793,1.0467,278540.0,0,1.7185e-05,1.0517,371.29,-0.036167,0,85073.0,-2.2049e+17,0,0,0,273.65,0,,57.968,49.868,0,0,171248.279273683,0.9996214345808483
794,1.0329,275350.0,0,1.7108e-05,1.0682,371.11,0.010452,0,83474.0,-2.432e+17,0,0,0,272.1,0,,58.041,49.941,0,0,171388.31011120332,0.9996127107346992
795,1.0193,272190.0,0,1.7031e-05,1.0845,370.72,0.051624,0,81905.0,-2.6548e+17,0,0,0,270.55,0,,58.115,50.014,0,0,171501.29068285596,0.9996040870542883
796,1.0057,269010.0,0,1.6953e-05,1.1009,370.22,0.085914,0,80345.0,-2.8763e+17,0,0,0,268.99,0,,58.188,50.088,0,0,171601.56448375343,0.9995955583848061
797,0.99204,265830.0,0,1.6875e-05,1.1173,369.6,0.11381,0,78792.0,-3.0968e+17,0,0,0,267.42,0,,58.261,50.161,0,0,171659.32089726225,0.9995871399828467
798,0.97856,262670.0,0,1.6797e-05,1.1335,368.76,0.13663,0,77272.0,-3.3127e+17,0,0,0,265.87,0,,58.334,50.234,0,0,171685.92552875032,0.999579011578902
799,0.96525,259540.0,0,1.672e-05,1.1496,367.84,0.16482,0,75780.0,-3.5245e+17,0,0,0,264.33,0,,58.407,50.307,0,0,171689.81914023522,0.9995710897414909
800,0.95216,256460.0,0,1.6644e-05,1.1655,366.82,0.19935,0,74321.0,-3.7318e+17,0,0,0,262.81,0,,58.48,50.38,0,0,171660.55229322845,0.9995634459975293
801,0.9393,253420.0,0,1.6568e-05,1.1809,365.61,0.24113,0,72904.0,-3.933e+17,0,0,0,261.32,0,,58.553,50.453,0,0,171556.9826114616,0.9995561244293261
802,0.92662,250400.0,0,1.6494e-05,1.1962,364.3,0.2916,0,71515.0,-4.1303e+17,0,0,0,259.85,0,,58.626,50.526,0,0,171430.46722712554,0.9995490940727064
803,0.91416,247430.0,0,1.6421e-05,1.211,362.88,0.35411,0,70162.0,-4.3223e+17,0,0,0,258.42,0,,58.699,50.599,0,0,171218.04452658584,0.9995425111479176
804,0.90152,244430.0,0,1.6348e-05,1.2262,361.32,0.42792,0,68807.0,-4.5148e+17,0,0,0,256.97,0,,58.772,50.672,0,0,171012.76929681844,0.9995359802128851
805,0.88872,241390.0,0,1.6271e-05,1.242,359.71,0.48877,0,67434.0,-4.7097e+17,0,0,0,255.47,0,,58.845,50.745,0,0,170810.4755817273,0.9995293012971591
806,0.87565,238270.0,0,1.619e-05,1.2585,358.03,0.52204,0,66030.0,-4.9091e+17,0,0,0,253.89,0,,58.919,50.819,0,0,170590.1828157526,0.9995222651989085
807,0.86263,235140.0,0,1.6109e-05,1.275,356.18,0.48006,0,64643.0,-5.1061e+17,0,0,0,252.3,0,,58.992,50.892,0,0,170325.73873357143,0.9995152981901179
808,0.85012,232120.0,0,1.603e-05,1.2908,354.3,0.47255,0,63314.0,-5.2948e+17,0,0,0,250.76,0,,59.065,50.965,0,0,169984.90730209657,0.9995087336638355
809,0.83887,229370.0,0,1.5958e-05,1.3049,352.45,0.59822,0,62131.0,-5.4628e+17,0,0,0,249.37,0,,59.138,51.038,0,0,169615.61718347436,0.9995029304682519
810,0.82987,227180.0,0,1.5907e-05,1.3153,350.74,0.60633,0,61223.0,-5.5918e+17,0,0,0,248.38,0,,59.211,51.111,0,0,169199.70700409779,0.9994994789053457
811,0.82167,225190.0,0,1.5863e-05,1.3245,349.08,0.57292,0,60411.0,-5.707e+17,0,0,0,247.53,0,,59.284,51.184,0,0,168772.1889566298,0.9994969047313051
812,0.81347,223190.0,0,1.5819e-05,1.3336,347.42,0.53952,0,59600.0,-5.8222e+17,0,0,0,246.68,0,,59.357,51.257,0,0,168293.61023129823,0.9994944459736096
813,0.80664,221530.0,0,1.5779e-05,1.3417,346.06,0.49585,0,58918.0,-5.9191e+17,0,0,0,245.92,0,,59.43,51.33,0,0,167952.30297501537,0.9994919835971999
814,0.80052,220040.0,0,1.5742e-05,1.3493,344.86,0.44692,0,58301.0,-6.0067e+17,0,0,0,245.2,0,,59.503,51.403,0,0,167674.63016526637,0.9994894806118902
815,0.7944,218540.0,0,1.5705e-05,1.3568,343.65,0.39799,0,57684.0,-6.0943e+17,0,0,0,244.48,0,,59.576,51.477,0,0,167355.72290495413,0.9994870533609546
816,0.78894,217190.0,0,1.5673e-05,1.3632,342.46,0.37996,0,57146.0,-6.1707e+17,0,0,0,243.88,0,,59.65,51.55,0,0,167032.66509637353,0.9994853039319328
817,0.78394,215950.0,0,1.5646e-05,1.3687,341.29,0.38405,0,56663.0,-6.2393e+17,0,0,0,243.36,0,,59.723,51.623,0,0,166680.95305041212,0.999483988523643
818,0.77895,214700.0,0,1.5618e-05,1.3742,340.12,0.38814,0,56180.0,-6.3079e+17,0,0,0,242.83,0,,59.796,51.696,0,0,166316.02582924787,0.9994826131788663
819,0.77471,213670.0,0,1.5594e-05,1.3791,339.18,0.37591,0,55768.0,-6.3664e+17,0,0,0,242.37,0,,59.869,51.769,0,0,166034.19239149883,0.9994813931514133
820,0.77123,212830.0,0,1.5573e-05,1.3837,338.47,0.34766,0,55424.0,-6.4152e+17,0,0,0,241.96,0,,59.942,51.842,0,0,165888.50989218586,0.9994801194635966
821,0.76774,212000.0,0,1.5552e-05,1.3882,337.76,0.3194,0,55080.0,-6.464e+17,0,0,0,241.56,0,,60.015,51.915,0,0,165716.14577786127,0.9994789810334629
822,0.76483,211300.0,0,1.5534e-05,1.392,337.18,0.30151,0,54793.0,-6.5048e+17,0,0,0,241.21,0,,60.088,51.988,0,0,165575.25180937175,0.9994778733031416
823,0.76278,210820.0,0,1.552e-05,1.3949,336.79,0.29891,0,54588.0,-6.5339e+17,0,0,0,240.96,0,,60.161,52.061,0,0,165506.67574209181,0.9994770933089125
824,0.76072,210340.0,0,1.5507e-05,1.3978,336.4,0.29631,0,54383.0,-6.563e+17,0,0,0,240.7,0,,60.234,52.134,0,0,165435.25637904325,0.9994762133000047
825,0.75913,209980.0,0,1.5496e-05,1.4003,336.15,0.30942,0,54221.0,-6.586e+17,0,0,0,240.49,0,,60.308,52.208,0,0,165416.3256266616,0.9994754748678443
826,0.75858,209900.0,0,1.549e-05,1.4019,336.21,0.3587,0,54159.0,-6.5949e+17,0,0,0,240.39,0,,60.381,52.281,0,0,165530.6456808986,0.9994749787617373
827,0.75803,209820.0,0,1.5485e-05,1.4034,336.26,0.40799,0,54096.0,-6.6038e+17,0,0,0,240.28,0,,60.454,52.354,0,0,165622.61460065987,0.999474383446033
828,0.75759,209770.0,0,1.548e-05,1.4049,336.34,0.44774,0,54042.0,-6.6115e+17,0,0,0,240.18,0,,60.527,52.427,0,0,165741.87321329242,0.9994738110030096
829,0.75756,209790.0,0,1.5476e-05,1.4058,336.49,0.44972,0,54024.0,-6.614e+17,0,0,0,240.11,0,,60.6,52.5,0,0,165857.53630967622,0.9994732178000869
830,0.75753,209820.0,0,1.5472e-05,1.4066,336.64,0.45169,0,54007.0,-6.6165e+17,0,0,0,240.05,0,,60.673,52.573,0,0,165957.28283382548,0.9994727243655499
831,0.75751,209850.0,0,1.5469e-05,1.4075,336.79,0.45123,0,53991.0,-6.6187e+17,0,0,0,239.98,0,,60.746,52.646,0,0,166079.11401876566,0.9994721109861074
832,0.7576,209880.0,0,1.5468e-05,1.4078,336.89,0.42894,0,53991.0,-6.6187e+17,0,0,0,239.95,0,,60.819,52.719,0,0,166136.1427484475,0.9994717810088094
833,0.75769,209920.0,0,1.5466e-05,1.4081,336.98,0.40665,0,53992.0,-6.6186e+17,0,0,0,239.93,0,,60.892,52.792,0,0,166196.2653741234,0.9994715511635313
834,0.75778,209950.0,0,1.5465e-05,1.4084,337.08,0.38436,0,53992.0,-6.6185e+17,0,0,0,239.9,0,,60.965,52.865,0,0,166253.3225506398,0.9994712209108677
835,0.7583,210090.0,0,1.5468e-05,1.408,337.24,0.30197,0,54041.0,-6.6116e+17,0,0,0,239.95,0,,61.038,52.938,0,0,166328.09272534132,0.9994712926790347
