"Mach","Result","x","Points:0","Points:1","Points:2"
2.3095,0.97891,0.73317,4.7656,0,0
2.3285,0.97849,0.74442,4.8387,0,0
2.3475,0.97808,0.75566,4.9118,0,0
2.3666,0.97767,0.76691,4.9849,0,0
2.3856,0.97729,0.77815,5.058,0,0
2.4044,0.97689,0.7894,5.1311,0,0
2.4235,0.97652,0.80065,5.2042,0,0
2.4429,0.97619,0.81189,5.2773,0,0
2.4624,0.97587,0.82314,5.3504,0,0
2.4817,0.97555,0.83438,5.4235,0,0
2.5008,0.97523,0.84563,5.4966,0,0
2.5197,0.97491,0.85688,5.5697,0,0
2.5385,0.9746,0.86812,5.6428,0,0
2.5571,0.97428,0.87937,5.7159,0,0
2.5755,0.97398,0.89062,5.789,0,0
2.5937,0.97368,0.90186,5.8621,0,0
2.6117,0.97339,0.91311,5.9352,0,0
2.63,0.97309,0.92435,6.0083,0,0
2.6483,0.9728,0.9356,6.0814,0,0
2.6665,0.97251,0.94685,6.1545,0,0
2.6845,0.97222,0.95809,6.2276,0,0
2.7024,0.97194,0.96934,6.3007,0,0
2.7201,0.97167,0.98058,6.3738,0,0
2.7377,0.97139,0.99183,6.4469,0,0
2.755,0.97113,1.0031,6.52,0,0
2.7721,0.97087,1.0143,6.5931,0,0
2.7889,0.97061,1.0256,6.6662,0,0
2.8061,0.97035,1.0368,6.7393,0,0
2.8233,0.97009,1.0481,6.8124,0,0
2.8404,0.96983,1.0593,6.8855,0,0
2.8574,0.96957,1.0706,6.9586,0,0
2.8741,0.96932,1.0818,7.0317,0,0
2.8908,0.96908,1.093,7.1048,0,0
2.9072,0.96884,1.1043,7.1779,0,0
2.9235,0.9686,1.1155,7.251,0,0
2.9395,0.96838,1.1268,7.3241,0,0
2.9554,0.96815,1.138,7.3972,0,0
2.9714,0.96793,1.1493,7.4703,0,0
2.9875,0.9677,1.1605,7.5434,0,0
3.0034,0.96748,1.1718,7.6165,0,0
3.0193,0.96726,1.183,7.6896,0,0
3.035,0.96704,1.1943,7.7627,0,0
3.0505,0.96683,1.2055,7.8358,0,0
3.0659,0.96662,1.2168,7.9089,0,0
3.0812,0.96641,1.228,7.982,0,0
3.0963,0.96621,1.2392,8.0551,0,0
3.1109,0.96602,1.2505,8.1282,0,0
3.126,0.96582,1.2617,8.2013,0,0
3.1412,0.96562,1.273,8.2744,0,0
3.1563,0.96541,1.2842,8.3475,0,0
3.1713,0.96521,1.2955,8.4206,0,0
3.1862,0.965,1.3067,8.4937,0,0
3.201,0.96479,1.318,8.5668,0,0
3.2158,0.96459,1.3292,8.6399,0,0
3.2305,0.96439,1.3405,8.713,0,0
3.2451,0.9642,1.3517,8.7861,0,0
3.2593,0.96401,1.363,8.8592,0,0
3.2736,0.96383,1.3742,8.9323,0,0
3.288,0.96365,1.3854,9.0054,0,0
3.3021,0.96347,1.3967,9.0785,0,0
3.316,0.9633,1.4079,9.1516,0,0
3.3295,0.96314,1.4192,9.2247,0,0
3.3429,0.96298,1.4304,9.2978,0,0
3.3559,0.96282,1.4417,9.3709,0,0
3.3689,0.96267,1.4529,9.444,0,0
3.3816,0.96252,1.4642,9.5171,0,0
3.394,0.96237,1.4754,9.5902,0,0
3.4063,0.96223,1.4867,9.6633,0,0
3.4186,0.96209,1.4979,9.7364,0,0
3.4307,0.96196,1.5092,9.8095,0,0
3.4425,0.96183,1.5204,9.8826,0,0
3.4541,0.9617,1.5316,9.9557,0,0
3.4654,0.96158,1.5429,10.029,0,0
3.4763,0.96146,1.5541,10.102,0,0
3.4868,0.96135,1.5654,10.175,0,0
3.4969,0.96124,1.5766,10.248,0,0
3.5067,0.96114,1.5879,10.321,0,0
3.5159,0.96105,1.5991,10.394,0,0
3.5243,0.96096,1.6104,10.467,0,0
