,Density,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
584,0.0055668,1348.0,0,1.2551e-05,1.6275,2.5278,0.0047047,0,309.61,-1391700.0,0,0,0,187.26,0,,0.057536,0.037016,0,0,1370.4768929666704,1212.5628913870707,3735.7936055605614,297753.68990592693,0.9999892461182561
585,0.0054705,1326.8,0,1.2467e-05,1.6453,2.5016,0.0045421,0,301.92,-1392600.0,0,0,0,185.82,0,,0.057634,0.037114,0,0,1372.444322145964,1204.7890647341655,3735.2390742688763,297716.8933785239,0.9999892447711861
586,0.0053771,1306.1,0,1.2381e-05,1.6632,2.476,0.0043703,0,294.42,-1393500.0,0,0,0,184.35,0,,0.057733,0.037213,0,0,1374.979775876672,1197.2408910851573,3734.4539777640503,297649.0448935125,0.9999892370935245
587,0.0052927,1286.9,0,1.2298e-05,1.6797,2.4519,0.0041909,0,287.58,-1394300.0,0,0,0,182.95,0,,0.057831,0.037311,0,0,1376.6462633232054,1189.5133570872067,3733.5109792054127,297482.08472658496,0.9999892242300681
588,0.0052175,1270.1,0,1.2241e-05,1.6921,2.4283,0.0062431,0,281.98,-1395000.0,0,0,0,181.97,0,,0.05793,0.03741,0,0,1375.1591222373336,1181.2433340113523,3733.768255447143,297463.8455791985,0.9999892493691841
589,0.0051437,1253.6,0,1.2183e-05,1.7047,2.4051,0.0076934,0,276.53,-1395700.0,0,0,0,180.99,0,,0.058028,0.037508,0,0,1374.1934079972898,1173.2419574241264,3733.951395165782,297456.54752003436,0.9999892725064374
590,0.0050702,1237.3,0,1.2123e-05,1.7177,2.3822,0.0085769,0,271.06,-1396300.0,0,0,0,179.98,0,,0.058127,0.037607,0,0,1373.8232919808045,1165.4486961620125,3734.068101102635,297467.0504479793,0.9999892944715237
591,0.0049963,1220.8,0,1.2063e-05,1.7309,2.359,0.0094377,0,265.57,-1397000.0,0,0,0,178.96,0,,0.058225,0.037705,0,0,1373.463678536219,1157.4745028278192,3734.2373262641513,297493.2275409316,0.999989319247045
592,0.0049187,1203.5,0,1.1997e-05,1.7452,2.3341,0.01007,0,259.88,-1397600.0,0,0,0,177.87,0,,0.058324,0.037804,0,0,1373.035333836563,1148.7230548028606,3734.3192019240273,297490.1468105371,0.9999893429875615
593,0.0048412,1186.2,0,1.1932e-05,1.7595,2.3091,0.010701,0,254.19,-1398300.0,0,0,0,176.77,0,,0.058422,0.037902,0,0,1372.6801368251895,1139.9544248854027,3734.445646316522,297504.3425709933,0.9999893693815006
594,0.0047612,1168.3,0,1.1863e-05,1.7748,2.283,0.011042,0,248.36,-1399000.0,0,0,0,175.61,0,,0.058521,0.038001,0,0,1372.5507446331123,1130.6976576406835,3734.4929654321636,297509.872525088,0.9999893950750227
595,0.0046792,1150.0,0,1.1791e-05,1.7908,2.256,0.011159,0,242.42,-1399700.0,0,0,0,174.41,0,,0.058619,0.0381,0,0,1372.5647323310623,1121.0523060066523,3734.5549863915785,297528.4900642483,0.9999894231378265
596,0.0045972,1131.6,0,1.1718e-05,1.8068,2.2289,0.011253,0,236.49,-1400400.0,0,0,0,173.2,0,,0.058718,0.038198,0,0,1372.8261070940866,1111.52304714714,3734.6735931246467,297578.62861634145,0.9999894544664301
597,0.0045134,1112.6,0,1.164e-05,1.824,2.2004,0.010775,0,230.49,-1401100.0,0,0,0,171.91,0,,0.058816,0.038297,0,0,1372.910188279854,1101.0311243429346,3734.5348210418597,297544.11139881803,0.9999894796085681
598,0.0044297,1093.7,0,1.1562e-05,1.8412,2.1719,0.010297,0,224.49,-1401800.0,0,0,0,170.61,0,,0.058915,0.038395,0,0,1373.2820216464609,1090.6855444466476,3734.477914521466,297550.8440298175,0.999989509107818
599,0.0043496,1075.5,0,1.1489e-05,1.8574,2.1438,0.0099505,0,218.87,-1402500.0,0,0,0,169.41,0,,0.059013,0.038494,0,0,1372.6388000930665,1080.0877642372304,3734.6705739027643,297566.1633916403,0.9999895460519395
600,0.004273,1058.1,0,1.1421e-05,1.8726,2.1163,0.0097274,0,213.61,-1403100.0,0,0,0,168.29,0,,0.059112,0.038592,0,0,1371.4607203127593,1069.651911685059,3735.000263679653,297587.54122301284,0.9999895866715415
601,0.0041964,1040.7,0,1.1353e-05,1.8879,2.0887,0.0095043,0,208.35,-1403800.0,0,0,0,167.17,0,,0.05921,0.038691,0,0,1370.2692081722412,1059.1135655760531,3735.4640541468307,297646.419715028,0.999989632780673
602,0.0041335,1026.3,0,1.1289e-05,1.9021,2.0661,0.0091185,0,203.98,-1404300.0,0,0,0,166.13,0,,0.059309,0.038789,0,0,1370.6619744634602,1050.4597979505718,3735.272534569881,297615.95471965824,0.9999896546281055
603,0.0040707,1012.0,0,1.1226e-05,1.9162,2.0435,0.0087309,0,199.62,-1404800.0,0,0,0,165.09,0,,0.059407,0.038888,0,0,1371.1808018637366,1041.9291509860868,3735.1617444397425,297616.4156734518,0.9999896800712241
