,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
237,0.028211,2.6562e-05,7456.5,0,1.0929e-05,2.0883,15.208,0.029343,0,13450.0,1342.8,-1268700.0,0,0,0,160.27,12.662,0,,0.023349,0.0028295,0,0,12056.505162244704,8194.157270703005,3138.2497160427556,311905.0989484513,0.9999240804097643
238,0.028021,2.6242e-05,7409.6,0,1.0902e-05,2.0942,15.128,0.030621,0,13511.0,1330.2,-1270200.0,0,0,0,159.84,12.653,0,,0.023448,0.002928,0,0,12054.15426598032,8159.4623231052,3138.2570388412596,311889.9181849923,0.9999241849838199
239,0.027834,2.6033e-05,7363.6,0,1.0876e-05,2.1,15.049,0.030764,0,13515.0,1318.0,-1271700.0,0,0,0,159.42,12.64,0,,0.023546,0.0030265,0,0,12052.691341364227,8125.963397142669,3138.2585446717208,311879.5547077729,0.9999242865929313
240,0.02765,2.5754e-05,7317.9,0,1.0851e-05,2.1058,14.971,0.031508,0,13552.0,1305.8,-1273100.0,0,0,0,159.01,12.62,0,,0.023645,0.003125,0,0,12048.45748337331,8090.636710755704,3138.343659361114,311873.78415896127,0.9999244079414237
241,0.027478,2.4855e-05,7276.0,0,1.0828e-05,2.111,14.898,0.037597,0,13887.0,1294.8,-1274400.0,0,0,0,158.65,12.543,0,,0.023743,0.0032235,0,0,12045.218425958017,8059.379108549984,3138.5000664418885,311896.7523851015,0.9999245358990854
242,0.027307,2.3957e-05,7234.0,0,1.0806e-05,2.1162,14.825,0.043686,0,14221.0,1283.7,-1275700.0,0,0,0,158.29,12.466,0,,0.023842,0.0033221,0,0,12039.688722045683,8026.632625022458,3138.695692857713,311914.53017199424,0.999924674348356
243,0.027129,2.3306e-05,7190.6,0,1.078e-05,2.1221,14.75,0.047186,0,14463.0,1272.2,-1277100.0,0,0,0,157.88,12.417,0,,0.02394,0.0034206,0,0,12041.626215403705,7994.991133859777,3138.672362820359,311921.87007728714,0.9999247703255875
244,0.026948,2.2838e-05,7146.1,0,1.0753e-05,2.1285,14.674,0.048778,0,14639.0,1260.2,-1278500.0,0,0,0,157.44,12.388,0,,0.024039,0.0035191,0,0,12044.480287785029,7961.190009776794,3138.5860503195872,311917.0909916379,0.9999248587877527
245,0.026766,2.237e-05,7101.6,0,1.0725e-05,2.1348,14.598,0.050369,0,14814.0,1248.2,-1280000.0,0,0,0,157.0,12.36,0,,0.024137,0.0036176,0,0,12048.9977656944,7929.063588718829,3138.5185502870845,311930.2562277062,0.9999249530398036
246,0.026585,2.1901e-05,7057.1,0,1.0698e-05,2.1411,14.522,0.051961,0,14989.0,1236.2,-1281400.0,0,0,0,156.55,12.331,0,,0.024236,0.0037161,0,0,12053.47985161976,7896.928434972963,3138.40393910355,311929.01054707426,0.9999250389899708
247,0.026404,2.1433e-05,7012.6,0,1.067e-05,2.1475,14.445,0.053553,0,15164.0,1224.3,-1282800.0,0,0,0,156.11,12.302,0,,0.024334,0.0038147,0,0,12055.02780699137,7862.340189317737,3138.3510562731135,311924.5864470544,0.9999251390103796
248,0.026217,2.1025e-05,6966.7,0,1.0642e-05,2.154,14.366,0.055018,0,15315.0,1212.1,-1284300.0,0,0,0,155.66,12.278,0,,0.024433,0.0039132,0,0,12058.673539389958,7828.595508672198,3138.3246976932173,311943.62593104644,0.9999252493290721
249,0.026026,2.0673e-05,6919.3,0,1.0613e-05,2.1607,14.283,0.056369,0,15444.0,1199.7,-1285700.0,0,0,0,155.2,12.258,0,,0.024531,0.0040117,0,0,12056.66010094817,7790.112589018718,3138.302273812508,311922.0147470576,0.9999253643068278
250,0.025834,2.032e-05,6872.0,0,1.0584e-05,2.1674,14.201,0.05772,0,15574.0,1187.4,-1287200.0,0,0,0,154.73,12.237,0,,0.02463,0.0041102,0,0,12061.536902721613,7756.127695242338,3138.2102555849324,311930.44413541956,0.9999254655564999
251,0.025643,1.9967e-05,6824.7,0,1.0555e-05,2.1741,14.118,0.05907,0,15703.0,1175.0,-1288700.0,0,0,0,154.27,12.217,0,,0.024728,0.0042087,0,0,12059.769037279859,7717.9174522815165,3138.233176734048,311924.25855794584,0.9999255941002761
252,0.025452,1.9615e-05,6777.4,0,1.0526e-05,2.1808,14.036,0.060421,0,15833.0,1162.7,-1290200.0,0,0,0,153.8,12.197,0,,0.024827,0.0043073,0,0,12063.401775015713,7683.216906627298,3138.186803620526,311937.18532479974,0.9999257090534563
253,0.02526,1.9302e-05,6729.9,0,1.0496e-05,2.1878,13.953,0.061647,0,15953.0,1150.4,-1291600.0,0,0,0,153.33,12.188,0,,0.024925,0.0044058,0,0,12065.894714301628,7646.17892593738,3138.1639625463717,311948.7473365996,0.9999258310221185
254,0.025068,1.9035e-05,6682.4,0,1.0465e-05,2.1949,13.869,0.062736,0,16062.0,1138.1,-1293100.0,0,0,0,152.84,12.19,0,,0.025024,0.0045043,0,0,12068.278314279183,7608.574894232029,3138.0292928370695,311925.93987489236,0.9999259317296249
255,0.024875,1.8768e-05,6634.9,0,1.0435e-05,2.2021,13.786,0.063825,0,16171.0,1125.8,-1294500.0,0,0,0,152.36,12.193,0,,0.025123,0.0046028,0,0,12074.136405310004,7572.658746697323,3137.986859814127,311956.45863488305,0.9999260539257415
256,0.024683,1.85e-05,6587.4,0,1.0404e-05,2.2093,13.702,0.064913,0,16280.0,1113.5,-1296000.0,0,0,0,151.87,12.196,0,,0.025221,0.0047013,0,0,12076.859060955663,7534.826182535476,3137.901119416861,311950.8239703842,0.9999261693376599
257,0.024491,1.8233e-05,6539.8,0,1.0373e-05,2.2165,13.618,0.066002,0,16390.0,1101.2,-1297500.0,0,0,0,151.39,12.198,0,,0.02532,0.0047999,0,0,12078.349808721781,7496.291844822954,3137.9094658636977,311964.3302417913,0.9999263065317487
258,0.024285,1.7955e-05,6488.7,0,1.034e-05,2.2244,13.528,0.066666,0,16477.0,1088.1,-1299000.0,0,0,0,150.85,12.182,0,,0.025418,0.0048984,0,0,12085.040194733569,7457.214514766333,3137.7493257642523,311965.6289039389,0.9999264202365816
259,0.024059,1.7664e-05,6432.6,0,1.0302e-05,2.2333,13.429,0.066752,0,16535.0,1073.7,-1300800.0,0,0,0,150.25,12.138,0,,0.025517,0.0049969,0,0,12092.571167390364,7413.253040930805,3137.5632718525158,311965.31931376527,0.9999265464216329
260,0.023833,1.7372e-05,6376.5,0,1.0264e-05,2.2422,13.33,0.066838,0,16593.0,1059.3,-1302500.0,0,0,0,149.65,12.094,0,,0.025615,0.0050954,0,0,12100.38510340071,7369.538404284613,3137.41406734758,311978.11869380006,0.9999266836619162
261,0.023569,1.711e-05,6310.3,0,1.022e-05,2.2525,13.211,0.064746,0,16626.0,1042.8,-1304400.0,0,0,0,148.96,12.069,0,,0.025714,0.0051939,0,0,12101.17498888711,7314.054905522918,3137.272676591518,311941.5046332134,0.9999268513029999
262,0.0233,1.6852e-05,6242.9,0,1.0175e-05,2.263,13.091,0.062408,0,16656.0,1026.0,-1306400.0,0,0,0,148.26,12.046,0,,0.025812,0.0052925,0,0,12105.971663003938,7260.078524262254,3137.200066411081,311955.03637851495,0.9999270413369372
263,0.023035,1.6597e-05,6176.3,0,1.0131e-05,2.2734,12.971,0.060427,0,16696.0,1009.6,-1308400.0,0,0,0,147.56,12.029,0,,0.025911,0.005391,0,0,12108.387516723225,7205.385856633255,3137.0662311405267,311932.6579840523,0.9999272188568071
