,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
58,6.8288,1761900.0,0.55969,1392.9,-5.6849,0,647940.0,7.7726e+18,319.47,,4.2398,-3.8602,0,0,802435.8898112351,0.9998145460265938
59,6.7843,1752100.0,0.57202,1412.4,-5.5317,0,642030.0,7.6886e+18,318.63,,4.3129,-3.7871,0,0,802477.524220995,0.9997816267561842
60,6.7389,1742100.0,0.58447,1431.5,-5.4448,0,636020.0,7.6032e+18,317.77,,4.386,-3.714,0,0,802539.2401338657,0.9997481629884724
61,6.6927,1732000.0,0.59701,1450.3,-5.4189,0,629920.0,7.5166e+18,316.9,,4.4591,-3.6409,0,0,802612.8725660808,0.9997145762401356
62,6.6449,1721400.0,0.60978,1468.5,-5.3236,0,623630.0,7.4272e+18,315.99,,4.5322,-3.5678,0,0,802656.3600265192,0.9996796991941548
63,6.5966,1710700.0,0.62264,1486.6,-5.2014,0,617260.0,7.3369e+18,315.06,,4.6053,-3.4947,0,0,802719.1864009569,0.9996443313046605
64,6.546,1699400.0,0.63579,1503.8,-5.1038,0,610660.0,7.2431e+18,314.09,,4.6784,-3.4216,0,0,802733.4645532878,0.999607745768674
65,6.4951,1688100.0,0.649,1520.9,-5.0046,0,604010.0,7.1487e+18,313.11,,4.7515,-3.3485,0,0,802780.1978364865,0.9995711144674689
66,6.4425,1676400.0,0.66244,1537.2,-4.8771,0,597180.0,7.0516e+18,312.09,,4.8246,-3.2754,0,0,802797.508756043,0.9995333009004503
67,6.3893,1664500.0,0.67593,1553.0,-4.7547,0,590280.0,6.9537e+18,311.06,,4.8977,-3.2023,0,0,802805.119764119,0.9994955029763511
68,6.3346,1652200.0,0.68954,1568.0,-4.6444,0,583250.0,6.8539e+18,310.01,,4.9708,-3.1292,0,0,802764.2656897539,0.9994573778189798
69,6.2795,1639900.0,0.70323,1582.5,-4.5017,0,576180.0,6.7535e+18,308.93,,5.0439,-3.0561,0,0,802764.9358797562,0.9994184649969152
70,6.2239,1627400.0,0.71701,1596.4,-4.3254,0,569060.0,6.6523e+18,307.84,,5.117,-2.983,0,0,802796.254685292,0.9993796218741404
71,6.1673,1614700.0,0.73116,1610.1,-4.4049,0,561810.0,6.5494e+18,306.71,,5.1901,-2.9099,0,0,802947.9055463508,0.9993396993318769
72,6.1102,1602000.0,0.74548,1623.5,-4.6043,0,554500.0,6.4456e+18,305.55,,5.2632,-2.8368,0,0,803170.4442311683,0.9992990715236875
73,6.052,1589000.0,0.76003,1636.3,-2.9773,0,547100.0,6.3405e+18,304.37,,5.3363,-2.7637,0,0,803462.6698619224,0.9992582181354016
74,5.9901,1574800.0,0.7747,1647.5,-2.9991,0,539290.0,6.2297e+18,303.13,,5.4094,-2.6906,0,0,803258.0178802094,0.9992159097352148
75,5.9308,1561300.0,0.78894,1657.9,-2.312,0,531850.0,6.1239e+18,301.93,,5.4825,-2.6175,0,0,803272.740905162,0.9991753867379529
76,5.8713,1547800.0,0.80323,1667.6,-2.1429,0,524390.0,6.018e+18,300.72,,5.5556,-2.5444,0,0,803296.1866074882,0.9991350463344847
77,5.8106,1534000.0,0.81776,1676.7,-1.6669,0,516820.0,5.9105e+18,299.48,,5.6287,-2.4713,0,0,803336.4994240477,0.9990942051185074
78,5.7474,1519600.0,0.83296,1685.5,-1.4971,0,508960.0,5.7989e+18,298.16,,5.7018,-2.3982,0,0,803457.1567727692,0.9990510819802407
79,5.6827,1504700.0,0.84848,1693.7,-1.4523,0,500920.0,5.6847e+18,296.79,,5.7749,-2.3251,0,0,803535.5766235503,0.9990068499911032
80,5.6199,1490200.0,0.86335,1700.6,-1.2229,0,493170.0,5.5747e+18,295.47,,5.848,-2.252,0,0,803504.8743599837,0.9989649577490797
81,5.5585,1476100.0,0.87795,1706.7,-0.96486,0,485650.0,5.4678e+18,294.17,,5.9211,-2.1789,0,0,803583.9665611503,0.9989241809461195
82,5.4953,1461600.0,0.89299,1712.3,-0.79963,0,477920.0,5.3582e+18,292.82,,5.9942,-2.1058,0,0,803649.3324015744,0.9988824137398786
83,5.4306,1446600.0,0.90836,1717.1,-0.65168,0,470040.0,5.2463e+18,291.43,,6.0673,-2.0327,0,0,803694.9024387551,0.9988400367482537
84,5.3656,1431500.0,0.92374,1721.2,-0.52196,0,462180.0,5.1347e+18,290.03,,6.1404,-1.9596,0,0,803719.8690266177,0.9987980114861421
85,5.3009,1416500.0,0.93909,1724.5,-0.39682,0,454390.0,5.024e+18,288.62,,6.2135,-1.8865,0,0,803768.5117836926,0.9987562286982993
86,5.2361,1401400.0,0.95445,1727.0,-0.27735,0,446630.0,4.9137e+18,287.2,,6.2866,-1.8134,0,0,803799.8783098294,0.9987148011274727
87,5.171,1386200.0,0.9699,1728.8,-0.15616,0,438870.0,4.8036e+18,285.76,,6.3597,-1.7403,0,0,803824.7162073081,0.9986733942728069
88,5.1056,1370800.0,0.98547,1729.8,-0.043925,0,431110.0,4.6934e+18,284.3,,6.4328,-1.6672,0,0,803862.2322600968,0.998632037588269
89,5.0399,1355400.0,1.0012,1730.3,0.058771,0,423350.0,4.5831e+18,282.82,,6.5059,-1.5941,0,0,803941.6612578661,0.9985907623995828
90,4.9739,1339900.0,1.017,1730.0,0.15614,0,415600.0,4.4732e+18,281.33,,6.579,-1.521,0,0,803984.1683562958,0.9985500142056131
91,4.9081,1324300.0,1.0327,1728.8,0.24108,0,407920.0,4.3642e+18,279.84,,6.6521,-1.4479,0,0,803915.9217312955,0.9985100626581865
92,4.8431,1309000.0,1.0484,1727.2,0.4565,0,400380.0,4.257e+18,278.34,,6.7252,-1.3748,0,0,803946.3120335029,0.9984702094819553
93,4.7773,1293300.0,1.0643,1725.0,0.59998,0,392760.0,4.1489e+18,276.81,,6.7983,-1.3017,0,0,803802.4898408728,0.9984303796119278
94,4.7108,1277500.0,1.0806,1722.1,0.77322,0,385100.0,4.0401e+18,275.25,,6.8714,-1.2286,0,0,803725.2689610303,0.9983904879572446
95,4.6437,1261400.0,1.0967,1718.0,0.89085,0,377460.0,3.9315e+18,273.68,,6.9445,-1.1555,0,0,803228.374949804,0.9983512470016183
96,4.5781,1245800.0,1.113,1714.0,1.2029,0,369990.0,3.8255e+18,272.12,,7.0176,-1.0824,0,0,803000.0759933038,0.998312937587165
97,4.5099,1229400.0,1.1297,1708.7,1.2223,0,362310.0,3.7164e+18,270.49,,7.0907,-1.0093,0,0,802387.6232838546,0.9982736374729682
98,4.4422,1213100.0,1.1466,1702.9,1.3899,0,354700.0,3.6084e+18,268.85,,7.1638,-0.9362,0,0,801774.7544679409,0.9982348902169474
99,4.374,1196700.0,1.1636,1696.4,1.5146,0,347090.0,3.5003e+18,267.18,,7.2369,-0.8631,0,0,800884.4461021897,0.9981961484309071
100,4.3059,1180200.0,1.1808,1689.3,1.7137,0,339540.0,3.393e+18,265.5,,7.31,-0.79,0,0,799927.8281075195,0.9981580706440264
101,4.2358,1163200.0,1.1986,1681.3,1.7572,0,331810.0,3.2833e+18,263.75,,7.3831,-0.7169,0,0,798693.3193740038,0.9981192387542289
102,4.1652,1146000.0,1.2166,1672.3,1.836,0,324090.0,3.1737e+18,261.98,,7.4562,-0.6438,0,0,797203.1884344928,0.9980810497756263
103,4.0946,1128700.0,1.2348,1662.9,1.9382,0,316420.0,3.0648e+18,260.19,,7.5293,-0.5707,0,0,795529.4612068578,0.9980433297037451
104,4.024,1111400.0,1.2531,1652.8,2.0289,0,308810.0,2.9567e+18,258.38,,7.6024,-0.4976,0,0,793580.7047684656,0.9980060566957153
105,3.9527,1093900.0,1.2719,1641.9,2.1315,0,301170.0,2.8482e+18,256.53,,7.6755,-0.4245,0,0,791478.5859635621,0.9979689248531733
106,3.8796,1075900.0,1.2914,1630.1,2.2352,0,293380.0,2.7376e+18,254.61,,7.7486,-0.3514,0,0,789044.1169191924,0.9979314616573086
107,3.8052,1057500.0,1.3114,1617.3,2.2306,0,285520.0,2.6259e+18,252.63,,7.8217,-0.2783,0,0,786239.4516684685,0.997893777101794
108,3.7327,1039500.0,1.3309,1603.9,2.2467,0,277950.0,2.5185e+18,250.71,,7.8948,-0.2052,0,0,783106.5033352267,0.9978590025320472
109,3.6648,1022600.0,1.3495,1590.9,2.5114,0,270890.0,2.4182e+18,248.87,,7.9679,-0.1321,0,0,779957.3197738017,0.997826215007058
110,3.594,1004900.0,1.3694,1577.0,2.6436,0,263560.0,2.3142e+18,246.91,,8.041,-0.059,0,0,776567.9088756427,0.9977919410934354
111,3.5217,986730.0,1.3896,1561.7,2.8313,0,256190.0,2.2094e+18,244.93,,8.1141,0.0141,0,0,772625.4411662469,0.9977593517066137
112,3.4492,968560.0,1.4106,1546.1,2.9025,0,248810.0,2.1047e+18,242.88,,8.1872,0.0872,0,0,768615.7780426707,0.9977259397049965
113,3.376,950020.0,1.4314,1529.2,3.0013,0,241480.0,2.0005e+18,240.83,,8.2603,0.1603,0,0,763805.380757671,0.9976946615775267
114,3.3032,931680.0,1.4532,1512.3,3.0216,0,234200.0,1.8971e+18,238.72,,8.3334,0.2334,0,0,759207.7548978655,0.9976627039638453
115,3.2296,912960.0,1.4752,1494.2,3.0175,0,226920.0,1.7938e+18,236.57,,8.4065,0.3065,0,0,753929.1005006856,0.9976316425307623
116,3.1583,894730.0,1.4968,1476.0,3.0354,0,219940.0,1.6947e+18,234.47,,8.4796,0.3796,0,0,748456.7499741223,0.9976028116004003
117,3.0908,877420.0,1.5173,1458.0,3.1624,0,213410.0,1.602e+18,232.47,,8.5527,0.4527,0,0,742802.782824219,0.997576773690889
118,3.0236,860150.0,1.5385,1439.8,3.299,0,206930.0,1.5099e+18,230.42,,8.6258,0.5258,0,0,737109.8521334459,0.9975504233654072
119,2.9544,842340.0,1.5609,1420.6,3.4005,0,200310.0,1.4159e+18,228.27,,8.6989,0.5989,0,0,731039.1025876019,0.9975236957355227
120,2.8828,823870.0,1.5847,1400.3,3.4228,0,193510.0,1.3193e+18,226.0,,8.772,0.672,0,0,724481.9261385035,0.9974964819387162
121,2.8106,805090.0,1.6086,1378.8,3.4091,0,186750.0,1.2234e+18,223.7,,8.8451,0.7451,0,0,717154.2254846715,0.997470799312462
122,2.7434,787510.0,1.6308,1358.0,3.6066,0,180570.0,1.1356e+18,221.6,,8.9182,0.8182,0,0,709818.2790977412,0.9974507527440639
123,2.6789,770750.0,1.6532,1337.9,3.8943,0,174660.0,1.0517e+18,219.51,,8.9913,0.8913,0,0,702821.2652871622,0.9974306287388781
124,2.6104,752900.0,1.678,1316.3,4.1316,0,168410.0,9.6297e+17,217.21,,9.0644,0.9644,0,0,695264.7341751404,0.9974083870791356
125,2.5392,734200.0,1.704,1293.0,4.1568,0,162000.0,8.7192e+17,214.8,,9.1375,1.0375,0,0,686827.2928256467,0.9973870535729094
126,2.4677,715280.0,1.73,1268.6,4.4085,0,155680.0,7.8215e+17,212.4,,9.2106,1.1106,0,0,677633.1578762626,0.9973691462347921
127,2.397,696580.0,1.7572,1244.3,4.4825,0,149450.0,6.9367e+17,209.92,,9.2837,1.1837,0,0,668476.4604611181,0.9973502182078949
128,2.3252,677470.0,1.7848,1218.7,4.435,0,143250.0,6.0558e+17,207.41,,9.3568,1.2568,0,0,658498.3576451103,0.9973340606367753
129,2.2588,659810.0,1.8113,1194.6,4.3029,0,137570.0,5.2497e+17,205.06,,9.4299,1.3299,0,0,649017.5763476181,0.9973212333466502
130,2.1946,642840.0,1.8384,1171.2,4.7136,0,132120.0,4.476e+17,202.7,,9.503,1.403,0,0,639888.9136527105,0.9973079373829459
131,2.1314,625870.0,1.8653,1147.4,4.4319,0,126810.0,3.7223e+17,200.32,,9.5761,1.4761,0,0,630211.1897944781,0.9972953002856872
132,2.0716,609710.0,1.8909,1124.2,4.5612,0,121880.0,3.0215e+17,198.08,,9.6492,1.5492,0,0,620595.9533192293,0.9972862656057743
133,2.019,595670.0,1.9147,1103.8,4.2149,0,117580.0,2.4108e+17,196.07,,9.7223,1.6223,0,0,612231.4400135509,0.9972790698768574
134,1.97,582510.0,1.9373,1084.4,4.9894,0,113610.0,1.8482e+17,194.18,,9.7954,1.6954,0,0,604129.6633711037,0.997273834202655
135,1.9345,572990.0,1.9562,1070.7,4.1958,0,110670.0,1.4298e+17,192.6,,9.8685,1.7685,0,0,598846.4445333518,0.9972625995652579
136,1.8998,563660.0,1.9742,1057.1,3.5229,0,107810.0,1.0245e+17,191.08,,9.9416,1.8416,0,0,593067.2545761229,0.9972543326747675
137,1.8727,555970.0,1.9836,1044.7,3.9774,0,105820.0,7.4161e+16,190.26,,10.015,1.9147,0,0,587130.2877368653,0.9972621949502005
138,1.849,549200.0,1.9915,1033.7,4.2846,0,104090.0,4.9537e+16,189.55,,10.088,1.9878,0,0,581692.6510040403,0.9972699295944321
139,1.8422,546970.0,1.9923,1029.9,3.8672,0,103620.0,4.2944e+16,189.4,,10.161,2.0609,0,0,579488.7255849031,0.9972744019518064
140,1.8354,544740.0,1.993,1026.1,3.4498,0,103160.0,3.6351e+16,189.25,,10.234,2.134,0,0,577284.8251610717,0.9972786586146895
141,1.8286,542510.0,1.9938,1022.3,3.0323,0,102700.0,2.9757e+16,189.1,,10.307,2.2071,0,0,575129.7933677525,0.9972829619503877
142,1.8244,541020.0,1.9943,1019.8,2.5117,0,102390.0,2.5385e+16,188.96,,10.38,2.2802,0,0,573654.9398173345,0.9972838566346153
143,1.8267,541360.0,1.9941,1020.8,1.7376,0,102460.0,2.6466e+16,188.87,,10.453,2.3533,0,0,573942.1270886861,0.997277291999
144,1.8289,541700.0,1.9939,1021.7,0.9635,0,102540.0,2.7547e+16,188.77,,10.526,2.4264,0,0,574285.0332515985,0.9972699212724034
145,1.8312,542040.0,1.9936,1022.6,0.1894,0,102620.0,2.8628e+16,188.68,,10.599,2.4995,0,0,574575.8939599764,0.9972630583233913
146,1.8375,543540.0,1.9909,1025.0,-0.72042,0,103050.0,3.479e+16,188.82,,10.673,2.5726,0,0,575572.7631401066,0.9972589865790382
147,1.8495,546690.0,1.9845,1029.8,-1.8256,0,104000.0,4.8266e+16,189.32,,10.746,2.6457,0,0,577513.7291361521,0.9972602008958884
148,1.8684,551730.0,1.9746,1037.3,-2.88,0,105520.0,6.9826e+16,190.13,,10.819,2.7188,0,0,580694.7968142087,0.9972631240592978
149,1.8955,558970.0,1.9604,1047.9,-3.8743,0,107710.0,1.0095e+17,191.32,,10.892,2.7919,0,0,585094.4294429837,0.99726949121675
150,1.9313,568590.0,1.942,1061.9,-4.5937,0,110650.0,1.4267e+17,192.87,,10.965,2.865,0,0,590964.4048441031,0.9972772367230518
151,1.9757,580530.0,1.9197,1079.2,-5.0451,0,114310.0,1.9471e+17,194.79,,11.038,2.9381,0,0,598000.6562393878,0.9972889504001877
152,2.0266,594190.0,1.8948,1098.5,-5.145,0,118570.0,2.552e+17,196.94,,11.111,3.0112,0,0,605976.7282994232,0.9973015608551082
153,2.0828,609230.0,1.8678,1119.7,-4.9627,0,123310.0,3.2246e+17,199.3,,11.184,3.0843,0,0,614290.0063958097,0.997317919778024
154,2.1326,622680.0,1.8465,1138.8,-4.8695,0,127450.0,3.8123e+17,201.19,,11.257,3.1574,0,0,622109.9441146372,0.9973266350234676
155,2.1781,635060.0,1.8289,1156.6,-4.835,0,131190.0,4.344e+17,202.78,,11.33,3.2305,0,0,629591.7824028875,0.9973309554423192
156,2.2107,644180.0,1.8197,1170.6,-4.7249,0,133710.0,4.7014e+17,203.64,,11.404,3.3036,0,0,635986.6642896589,0.9973242952340764
157,2.2359,651450.0,1.8154,1182.4,-4.572,0,135530.0,4.9597e+17,204.09,,11.477,3.3767,0,0,641951.6973487105,0.9973112647934119
158,2.2468,654830.0,1.8134,1187.7,-4.1552,0,136370.0,5.0791e+17,204.36,,11.55,3.4498,0,0,644673.4348692868,0.9973086182039854
159,2.2507,656320.0,1.8127,1189.8,-3.6103,0,136730.0,5.1309e+17,204.54,,11.623,3.5229,0,0,645934.7580168833,0.9973108369028799
160,2.2547,657810.0,1.8119,1191.9,-3.0653,0,137100.0,5.1827e+17,204.73,,11.696,3.596,0,0,647178.169030649,0.9973133938168265
161,2.2586,659290.0,1.8112,1194.1,-2.5204,0,137460.0,5.2345e+17,204.92,,11.769,3.6691,0,0,648435.1097370072,0.9973161639203613
162,2.2573,659240.0,1.8115,1193.8,-1.7079,0,137420.0,5.2288e+17,204.98,,11.842,3.7422,0,0,648436.3177457427,0.9973200336830446
163,2.2541,658640.0,1.8123,1192.7,-0.80308,0,137240.0,5.2032e+17,205.0,,11.915,3.8153,0,0,648092.3365601539,0.9973245654146207
164,2.2509,658050.0,1.8131,1191.6,0.10175,0,137060.0,5.1776e+17,205.02,,11.988,3.8884,0,0,647747.2627465155,0.9973290940793823
165,2.2478,657450.0,1.8139,1190.5,1.0066,0,136880.0,5.152e+17,205.04,,12.062,3.9615,0,0,647401.0953870313,0.9973336196790423
166,2.2379,654820.0,1.818,1186.8,1.8155,0,136040.0,5.0327e+17,204.68,,12.135,4.0346,0,0,645998.5051952921,0.9973315662489457
167,2.2261,651620.0,1.8231,1182.5,2.5975,0,135010.0,4.887e+17,204.2,,12.208,4.1077,0,0,644288.5806638929,0.9973272127555219
168,2.2143,648420.0,1.8282,1178.2,3.3794,0,133990.0,4.7413e+17,203.73,,12.281,4.1808,0,0,642587.2285572587,0.9973233294819569
169,2.2025,645220.0,1.8333,1173.8,4.1614,0,132960.0,4.5956e+17,203.26,,12.354,4.2539,0,0,640798.588726091,0.997319803555169
170,2.1767,638230.0,1.8443,1164.1,4.7721,0,130770.0,4.2848e+17,202.28,,12.427,4.327,0,0,636958.7134427489,0.9973138452899718
171,2.1478,630400.0,1.8565,1153.2,5.3448,0,128330.0,3.9373e+17,201.17,,12.5,4.4001,0,0,632429.7916978484,0.9973071714859447
172,2.1093,620030.0,1.8737,1138.5,5.512,0,125100.0,3.4788e+17,199.66,,12.573,4.4732,0,0,626703.6001725106,0.997297749182113
173,2.0688,609130.0,1.8919,1123.1,5.593,0,121700.0,2.9966e+17,198.06,,12.646,4.5463,0,0,620264.6146083709,0.9972892296630209
174,2.0167,594950.0,1.9149,1102.5,4.937,0,117430.0,2.3898e+17,196.04,,12.719,4.6194,0,0,611565.3866884462,0.9972809742536981
175,1.9613,579790.0,1.9397,1080.1,4.8887,0,112940.0,1.7529e+17,193.88,,12.792,4.6925,0,0,601903.9601914783,0.9972742596195673
176,1.911,565930.0,1.9623,1059.3,4.8237,0,108930.0,1.1834e+17,191.92,,12.866,4.7656,0,0,592746.2554846172,0.9972702117757846
177,1.8657,553630.0,1.9852,1041.0,5.7252,0,105280.0,6.6514e+16,190.0,,12.939,4.8387,0,0,584986.056558341,0.9972625152189609
