,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,Z
493,1.1757,327170.0,1.3243,503.24,-5.461,0,87779.0,-1.8206e+17,251.37,,36.038,27.938,0,0,249146.57464218859,242901.1009280455,6700.282409782837,0.9993286799179993
494,1.1892,330610.0,1.3159,506.44,-5.5456,0,89095.0,-1.6338e+17,252.19,,36.111,28.011,0,0,250019.86730235987,244149.35682766282,6699.243708329032,0.9993309658250216
495,1.2029,334110.0,1.3077,509.67,-5.634,0,90434.0,-1.4436e+17,252.99,,36.185,28.084,0,0,250984.2493580318,245466.6827459293,6698.100870689822,0.9993329882923062
496,1.2167,337600.0,1.2995,512.89,-5.7224,0,91774.0,-1.2534e+17,253.78,,36.258,28.158,0,0,251943.39852934403,246768.5276561262,6696.968580710856,0.9993350587213424
497,1.2305,341100.0,1.2913,516.11,-5.8108,0,93113.0,-1.0632e+17,254.57,,36.331,28.231,0,0,252858.0376445466,248016.1634211641,6695.892842815351,0.9993373365640675
498,1.2442,344590.0,1.2831,519.33,-5.8992,0,94453.0,-8.7294e+16,255.37,,36.404,28.304,0,0,253699.7977677416,249181.37756916272,6694.906252593166,0.9993399537987782
499,1.258,348090.0,1.2749,522.55,-5.9876,0,95792.0,-6.8273e+16,256.16,,36.477,28.377,0,0,254533.9547309661,250327.93424668984,6693.93179702526,0.9993426195510274
500,1.2718,351580.0,1.2667,525.77,-6.076,0,97132.0,-4.9251e+16,256.96,,36.55,28.45,0,0,255297.1258293961,251393.2632812085,6693.043059385277,0.9993456171978691
501,1.2855,355080.0,1.2585,528.99,-6.1645,0,98471.0,-3.023e+16,257.75,,36.623,28.523,0,0,256054.67399731823,252441.43918175533,6692.163492892278,0.9993486544973503
502,1.2993,358570.0,1.2503,532.21,-6.2529,0,99811.0,-1.1209e+16,258.54,,36.696,28.596,0,0,256777.90269114095,253444.02886796545,6691.3261979387535,0.9993518650178359
503,1.3131,362060.0,1.2422,535.43,-6.3413,0,101150.0,7813200000000000.0,259.34,,36.769,28.669,0,0,257427.6870300563,254358.89297121903,6690.575939223025,0.9993554095610584
504,1.3266,365530.0,1.236,538.89,-6.4172,0,102420.0,2.5836e+16,259.93,,36.842,28.742,0,0,258599.846766735,255718.49265032823,6689.227307574078,0.9993563674330053
505,1.3399,368970.0,1.2313,542.53,-6.4844,0,103640.0,4.3166e+16,260.38,,36.916,28.816,0,0,260106.48555102578,257356.76751386325,6687.5027887557,0.9993556382093762
506,1.3531,372410.0,1.2265,546.17,-6.5517,0,104860.0,6.0495e+16,260.83,,36.989,28.889,0,0,261588.3218975739,258970.79074638244,6685.816373508623,0.9993550240712038
