,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
58,6.828,1761700.0,0.55982,1393.0,-6.0617,0,647820.0,7.7708e+18,319.45,,4.2398,-3.8602,0,0,802364.4350528141,0.9998137561297219
59,6.7831,1751800.0,0.57215,1412.4,-5.9902,0,641870.0,7.6863e+18,318.61,,4.3129,-3.7871,0,0,802356.1118304853,0.9997808500440858
60,6.7375,1741700.0,0.58458,1431.5,-5.9229,0,635830.0,7.6006e+18,317.75,,4.386,-3.714,0,0,802367.1489601706,0.9997474014292038
61,6.6912,1731500.0,0.59712,1450.2,-5.8596,0,629720.0,7.5138e+18,316.87,,4.4591,-3.6409,0,0,802426.9642411616,0.9997134194393402
62,6.6433,1720900.0,0.6099,1468.4,-5.7862,0,623410.0,7.4242e+18,315.96,,4.5322,-3.5678,0,0,802449.7542879104,0.9996785592766694
63,6.5947,1710100.0,0.62277,1486.4,-5.709,0,617040.0,7.3337e+18,315.03,,4.6053,-3.4947,0,0,802517.5323120985,0.9996432020498395
64,6.5441,1698900.0,0.63595,1503.7,-5.6209,0,610420.0,7.2397e+18,314.06,,4.6784,-3.4216,0,0,802523.7976869992,0.9996066382572756
65,6.4931,1687500.0,0.6492,1520.8,-5.531,0,603760.0,7.1451e+18,313.08,,4.7515,-3.3485,0,0,802582.5909372239,0.9995700259319767
66,6.4402,1675700.0,0.6627,1537.1,-5.434,0,596890.0,7.0476e+18,312.05,,4.8246,-3.2754,0,0,802585.8163551366,0.999531840312832
67,6.3869,1663800.0,0.67627,1553.1,-5.3349,0,589980.0,6.9494e+18,311.02,,4.8977,-3.2023,0,0,802634.1471522514,0.9994940666076163
68,6.3323,1651600.0,0.68999,1568.3,-5.2313,0,582940.0,6.8495e+18,309.95,,4.9708,-3.1292,0,0,802656.7380483923,0.9994551374237536
69,6.2772,1639200.0,0.70371,1582.8,-5.1262,0,575850.0,6.7488e+18,308.87,,5.0439,-3.0561,0,0,802651.0668024649,0.9994162598864484
70,6.2213,1626700.0,0.71745,1596.6,-5.0198,0,568700.0,6.6473e+18,307.78,,5.117,-2.983,0,0,802610.3423880484,0.9993774658152965
71,6.1661,1614300.0,0.73128,1609.9,-4.9309,0,561620.0,6.5468e+18,306.67,,5.1901,-2.9099,0,0,802765.422217324,0.9993382244530928
72,6.1112,1602000.0,0.74514,1623.0,-4.8502,0,554570.0,6.4467e+18,305.54,,5.2632,-2.8368,0,0,803014.7671457359,0.9992985711297183
73,6.0534,1589000.0,0.75953,1635.6,-3.2891,0,547210.0,6.3421e+18,304.36,,5.3363,-2.7637,0,0,803240.2482023943,0.9992576604435517
74,5.9921,1575100.0,0.7743,1647.2,-3.0808,0,539470.0,6.2322e+18,303.13,,5.4094,-2.6906,0,0,803214.5465431447,0.9992156693492965
75,5.9311,1561200.0,0.78891,1657.8,-2.5565,0,531810.0,6.1235e+18,301.9,,5.4825,-2.6175,0,0,803188.5939116817,0.9991741714550733
76,5.8709,1547600.0,0.80345,1667.8,-2.4021,0,524260.0,6.0162e+18,300.67,,5.5556,-2.5444,0,0,803273.3723659276,0.9991331182421778
77,5.8109,1533900.0,0.81787,1676.9,-1.7668,0,516770.0,5.9098e+18,299.43,,5.6287,-2.4713,0,0,803348.2994706668,0.9990921528207665
78,5.7489,1519800.0,0.83285,1685.7,-1.5235,0,509060.0,5.8003e+18,298.14,,5.7018,-2.3982,0,0,803524.6497570133,0.9990500504745544
79,5.6843,1505000.0,0.84839,1694.0,-1.4634,0,501050.0,5.6866e+18,296.78,,5.7749,-2.3251,0,0,803669.2611330814,0.999006177352424
80,5.6207,1490400.0,0.86347,1701.0,-1.229,0,493210.0,5.5753e+18,295.45,,5.848,-2.252,0,0,803671.9225853775,0.9989640159324704
81,5.5588,1476200.0,0.87819,1707.2,-0.96931,0,485630.0,5.4676e+18,294.14,,5.9211,-2.1789,0,0,803756.7953135731,0.998922925171344
82,5.4957,1461700.0,0.89322,1712.7,-0.80301,0,477910.0,5.3581e+18,292.8,,5.9942,-2.1058,0,0,803832.3053848206,0.9988815679498221
83,5.4311,1446700.0,0.90854,1717.6,-0.65157,0,470060.0,5.2465e+18,291.41,,6.0673,-2.0327,0,0,803887.4886902281,0.9988391186019827
84,5.3661,1431700.0,0.92392,1721.6,-0.51733,0,462200.0,5.1349e+18,290.01,,6.1404,-1.9596,0,0,803914.9271668114,0.9987970877556247
85,5.3013,1416600.0,0.93928,1724.9,-0.39003,0,454390.0,5.024e+18,288.6,,6.2135,-1.8865,0,0,803939.5738701547,0.9987553518156757
86,5.2364,1401500.0,0.95466,1727.4,-0.27073,0,446620.0,4.9137e+18,287.17,,6.2866,-1.8134,0,0,803973.0676603888,0.998713508969183
87,5.1713,1386200.0,0.97012,1729.2,-0.15057,0,438860.0,4.8034e+18,285.74,,6.3597,-1.7403,0,0,804008.8578033574,0.9986725405679162
88,5.1057,1370900.0,0.98568,1730.2,-0.036445,0,431090.0,4.6931e+18,284.28,,6.4328,-1.6672,0,0,804020.2358492762,0.9986312130035879
89,5.0398,1355400.0,1.0014,1730.6,0.068761,0,423310.0,4.5826e+18,282.8,,6.5059,-1.5941,0,0,804053.5886946089,0.9985900023169306
90,4.9736,1339800.0,1.0173,1730.2,0.16302,0,415530.0,4.4722e+18,281.3,,6.579,-1.521,0,0,804133.1982251246,0.9985489130289399
91,4.9074,1324100.0,1.033,1729.1,0.24062,0,407810.0,4.3625e+18,279.8,,6.6521,-1.4479,0,0,803985.5622240594,0.9985086630637896
92,4.8421,1308700.0,1.0488,1727.4,0.4414,0,400230.0,4.2549e+18,278.3,,6.7252,-1.3748,0,0,804029.2987088048,0.9984689710632653
93,4.7764,1293100.0,1.0647,1725.1,0.59638,0,392630.0,4.147e+18,276.77,,6.7983,-1.3017,0,0,803922.4993712525,0.9984290834893829
94,4.7103,1277400.0,1.0809,1722.2,0.80529,0,385010.0,4.0388e+18,275.21,,6.8714,-1.2286,0,0,803828.0901027306,0.9983890461623999
95,4.6436,1261400.0,1.0969,1718.1,0.93399,0,377410.0,3.9308e+18,273.65,,6.9445,-1.1555,0,0,803316.1820808086,0.9983500991243908
96,4.5781,1245800.0,1.1131,1714.1,1.2507,0,369970.0,3.8253e+18,272.1,,7.0176,-1.0824,0,0,803053.9367474676,0.9983121162190971
97,4.5101,1229400.0,1.1298,1708.7,1.2692,0,362290.0,3.7162e+18,270.47,,7.0907,-1.0093,0,0,802440.6004166651,0.9982728169996302
98,4.4423,1213100.0,1.1466,1702.9,1.4538,0,354690.0,3.6082e+18,268.83,,7.1638,-0.9362,0,0,801752.1434341788,0.9982340219511577
