,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s
49,0.12841,28807.0,0.30321,13.624,-0.075209,0,11234.0,-9.1248e+16,294.54,,0.0048275,-0.015692,0,0,11973.580072092405,11973.580072092405,3139.958751172853
50,0.12825,28775.0,0.30745,13.794,-0.075962,0,11213.0,-9.3662e+16,294.39,,0.004926,-0.015594,0,0,11972.500277660401,11972.500277660401,3139.9849406896483
51,0.12807,28742.0,0.31183,13.968,-0.076563,0,11192.0,-9.6184e+16,294.23,,0.0050245,-0.015495,0,0,11972.462676002855,11972.462676002855,3139.9765731514954
52,0.12789,28708.0,0.31636,14.146,-0.077011,0,11170.0,-9.8819e+16,294.06,,0.005123,-0.015397,0,0,11972.185766055765,11972.185766055765,3139.960182418634
53,0.12771,28674.0,0.32088,14.324,-0.077459,0,11148.0,-1.0145e+17,293.89,,0.0052215,-0.015298,0,0,11972.26300557465,11972.26300557465,3139.9445963854864
54,0.12753,28639.0,0.32541,14.501,-0.077906,0,11126.0,-1.0409e+17,293.73,,0.0053201,-0.0152,0,0,11972.547836018799,11972.547836018799,3139.965209447771
55,0.12735,28605.0,0.32993,14.679,-0.078354,0,11104.0,-1.0672e+17,293.56,,0.0054186,-0.015101,0,0,11973.33933798097,11973.33933798097,3139.9512657843634
56,0.12716,28568.0,0.33463,14.861,-0.078758,0,11080.0,-1.0955e+17,293.38,,0.0055171,-0.015003,0,0,11973.00211335465,11973.00211335465,3139.9563133839947
57,0.12695,28528.0,0.33954,15.047,-0.079107,0,11054.0,-1.1263e+17,293.18,,0.0056156,-0.014904,0,0,11971.74391869664,11971.74391869664,3139.945184858149
58,0.12673,28487.0,0.34445,15.234,-0.079457,0,11028.0,-1.157e+17,292.99,,0.0057141,-0.014806,0,0,11971.144976385986,11971.144976385986,3139.9706953254304
59,0.12652,28446.0,0.34936,15.42,-0.079806,0,11002.0,-1.1877e+17,292.8,,0.0058127,-0.014707,0,0,11970.685531518393,11970.685531518393,3139.9974195092846
60,0.12631,28406.0,0.35427,15.607,-0.080155,0,10976.0,-1.2185e+17,292.6,,0.0059112,-0.014609,0,0,11970.81014458612,11970.81014458612,3139.9898389453697
61,0.12608,28363.0,0.35932,15.796,-0.080482,0,10949.0,-1.2508e+17,292.4,,0.0060097,-0.01451,0,0,11970.870371109128,11970.870371109128,3140.010563785304
62,0.12584,28317.0,0.3646,15.989,-0.080774,0,10920.0,-1.2857e+17,292.17,,0.0061082,-0.014411,0,0,11970.018553044576,11970.018553044576,3139.9802686727753
63,0.1256,28271.0,0.36988,16.183,-0.081065,0,10891.0,-1.3205e+17,291.95,,0.0062067,-0.014313,0,0,11969.747380171115,11969.747380171115,3139.987030035886
64,0.12536,28225.0,0.37516,16.376,-0.081357,0,10862.0,-1.3554e+17,291.73,,0.0063053,-0.014214,0,0,11969.824511683653,11969.824511683653,3139.995306932393
65,0.12512,28178.0,0.38044,16.57,-0.081648,0,10832.0,-1.3902e+17,291.5,,0.0064038,-0.014116,0,0,11969.468440605426,11969.468440605426,3139.996867459114
66,0.12486,28130.0,0.38584,16.765,-0.081912,0,10802.0,-1.4265e+17,291.27,,0.0065023,-0.014017,0,0,11970.139754585156,11970.139754585156,3140.000058993753
67,0.12459,28078.0,0.39147,16.963,-0.082123,0,10769.0,-1.4657e+17,291.02,,0.0066008,-0.013919,0,0,11968.730581089121,11968.730581089121,3140.016183216075
68,0.12432,28026.0,0.39711,17.161,-0.082334,0,10736.0,-1.5049e+17,290.77,,0.0066993,-0.01382,0,0,11967.86647378132,11967.86647378132,3140.034329243163
69,0.12404,27973.0,0.40274,17.359,-0.082546,0,10703.0,-1.5442e+17,290.51,,0.0067979,-0.013722,0,0,11967.811286525246,11967.811286525246,3140.018731641796
70,0.12377,27921.0,0.40837,17.557,-0.082757,0,10670.0,-1.5834e+17,290.26,,0.0068964,-0.013623,0,0,11968.064411964673,11968.064411964673,3140.0409381715335
71,0.12349,27867.0,0.4141,17.756,-0.082917,0,10636.0,-1.6239e+17,290.0,,0.0069949,-0.013525,0,0,11968.186478049623,11968.186478049623,3140.0572929864675
72,0.12318,27808.0,0.42007,17.956,-0.082955,0,10599.0,-1.6674e+17,289.71,,0.0070934,-0.013426,0,0,11966.5085956484,11966.5085956484,3140.052263341396
73,0.12288,27750.0,0.42604,18.156,-0.082992,0,10563.0,-1.711e+17,289.43,,0.0071919,-0.013328,0,0,11966.298908276553,11966.298908276553,3140.0576091790363
74,0.12257,27691.0,0.43201,18.356,-0.083029,0,10526.0,-1.7546e+17,289.14,,0.0072905,-0.013229,0,0,11965.874311604268,11965.874311604268,3140.0576955991933
75,0.12227,27633.0,0.43798,18.557,-0.083067,0,10490.0,-1.7982e+17,288.85,,0.007389,-0.013131,0,0,11967.146044601372,11967.146044601372,3140.032092042322
76,0.12196,27573.0,0.44404,18.757,-0.083071,0,10452.0,-1.8429e+17,288.56,,0.0074875,-0.013032,0,0,11966.868419224325,11966.868419224325,3140.0657644285698
77,0.12162,27507.0,0.45038,18.958,-0.082969,0,10411.0,-1.8913e+17,288.24,,0.007586,-0.012934,0,0,11964.94120992775,11964.94120992775,3140.0796974772115
