"Density","Energy","Mach","Momentum:0","Momentum:1","Momentum:2","Pressure","Pressure_Coefficient","Temperature","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.13167,29428,0.20806,9.6334,-0.046608,0,11630,-4.4034e+16,297.39,,0.0018719,-0.018648,0,0
0.13161,29416,0.20988,9.7129,-0.048972,0,11623,-4.4863e+16,297.35,,0.0019704,-0.018549,0,0
0.13155,29403,0.21199,9.8042,-0.051089,0,11615,-4.5819e+16,297.29,,0.0020689,-0.018451,0,0
0.13148,29390,0.21416,9.8984,-0.053143,0,11607,-4.6808e+16,297.24,,0.0021674,-0.018352,0,0
0.13141,29376,0.21634,9.9927,-0.055197,0,11598,-4.7798e+16,297.18,,0.002266,-0.018254,0,0
0.13134,29363,0.21851,10.087,-0.057251,0,11590,-4.8787e+16,297.13,,0.0023645,-0.018155,0,0
0.13127,29350,0.22069,10.181,-0.059305,0,11582,-4.9776e+16,297.07,,0.002463,-0.018057,0,0
0.13119,29335,0.22321,10.29,-0.060228,0,11573,-5.0876e+16,297.01,,0.0025615,-0.017958,0,0
0.13112,29321,0.22585,10.405,-0.060768,0,11563,-5.2014e+16,296.93,,0.00266,-0.01786,0,0
0.13104,29306,0.22849,10.519,-0.061308,0,11554,-5.3152e+16,296.86,,0.0027586,-0.017761,0,0
0.13096,29292,0.23113,10.633,-0.061848,0,11544,-5.429e+16,296.79,,0.0028571,-0.017663,0,0
0.13088,29277,0.23378,10.747,-0.062388,0,11534,-5.5428e+16,296.72,,0.0029556,-0.017564,0,0
0.13079,29258,0.23675,10.874,-0.063259,0,11522,-5.6848e+16,296.64,,0.0030541,-0.017466,0,0
0.13068,29238,0.23988,11.006,-0.064274,0,11510,-5.8391e+16,296.55,,0.0031526,-0.017367,0,0
0.13057,29217,0.243,11.139,-0.065289,0,11497,-5.9934e+16,296.46,,0.0032512,-0.017269,0,0
0.13046,29196,0.24612,11.271,-0.066303,0,11484,-6.1477e+16,296.37,,0.0033497,-0.01717,0,0
