"Mach","P","tp","Points:0","Points:1","Points:2"
2.1952,0.093773,0.40975,0.82314,0,0
2.2177,0.090459,0.40172,0.83438,0,0
2.2396,0.087411,0.39408,0.84563,0,0
2.2611,0.084506,0.38666,0.85688,0,0
2.2827,0.081601,0.37923,0.86812,0,0
2.3036,0.079031,0.37234,0.87937,0,0
2.3244,0.076466,0.36546,0.89062,0,0
2.3451,0.07399,0.35872,0.90186,0,0
2.3654,0.0717,0.35228,0.91311,0,0
2.3857,0.06941,0.34583,0.92435,0,0
2.4057,0.067273,0.33965,0.9356,0,0
2.4256,0.065212,0.33359,0.94685,0,0
2.4455,0.063152,0.32753,0.95809,0,0
2.4651,0.061291,0.32182,0.96934,0,0
2.4846,0.059429,0.3161,0.98058,0,0
2.5041,0.057631,0.31051,0.99183,0,0
2.5232,0.055955,0.30516,1.0031,0,0
2.5424,0.054279,0.2998,1.0143,0,0
2.5614,0.052706,0.29464,1.0256,0,0
2.5803,0.051183,0.28957,1.0368,0,0
2.5991,0.049663,0.2845,1.0481,0,0
2.6176,0.048284,0.27974,1.0593,0,0
2.6361,0.046906,0.27497,1.0706,0,0
2.6545,0.045573,0.2703,1.0818,0,0
2.6727,0.044324,0.26582,1.093,0,0
2.6908,0.043075,0.26134,1.1043,0,0
2.7087,0.041906,0.25704,1.1155,0,0
2.7265,0.040773,0.25283,1.1268,0,0
2.7443,0.039643,0.24863,1.138,0,0
2.7617,0.038614,0.24467,1.1493,0,0
2.7792,0.037586,0.24072,1.1605,0,0
2.7965,0.036592,0.23685,1.1718,0,0
2.8135,0.035659,0.23315,1.183,0,0
2.8306,0.034726,0.22945,1.1943,0,0
2.8474,0.033848,0.22588,1.2055,0,0
2.8642,0.032992,0.22237,1.2168,0,0
2.881,0.03214,0.21887,1.228,0,0
2.8975,0.031358,0.21556,1.2392,0,0
2.914,0.030576,0.21225,1.2505,0,0
2.9304,0.029818,0.20901,1.2617,0,0
2.9466,0.0291,0.20589,1.273,0,0
2.9628,0.028382,0.20276,1.2842,0,0
2.9789,0.027706,0.19975,1.2955,0,0
2.9949,0.027046,0.19679,1.3067,0,0
3.0108,0.026389,0.19384,1.318,0,0
3.0266,0.025782,0.19104,1.3292,0,0
3.0423,0.025175,0.18824,1.3405,0,0
3.058,0.024587,0.1855,1.3517,0,0
3.0735,0.024028,0.18286,1.363,0,0
3.089,0.02347,0.18021,1.3742,0,0
3.1043,0.022943,0.17766,1.3854,0,0
3.1196,0.022427,0.17516,1.3967,0,0
3.1348,0.021914,0.17266,1.4079,0,0
3.1498,0.021438,0.17028,1.4192,0,0
3.1649,0.020962,0.16791,1.4304,0,0
3.1798,0.020502,0.16558,1.4417,0,0
3.1946,0.020063,0.16334,1.4529,0,0
3.2093,0.019625,0.1611,1.4642,0,0
3.224,0.019209,0.15894,1.4754,0,0
3.2386,0.018801,0.1568,1.4867,0,0
3.2532,0.018395,0.15467,1.4979,0,0
3.2675,0.018018,0.15264,1.5092,0,0
3.2819,0.01764,0.15061,1.5204,0,0
3.2961,0.017274,0.14862,1.5316,0,0
3.3103,0.016924,0.1467,1.5429,0,0
3.3244,0.016574,0.14478,1.5541,0,0
3.3384,0.016241,0.14292,1.5654,0,0
3.3523,0.015915,0.14108,1.5766,0,0
3.3663,0.01559,0.13925,1.5879,0,0
3.3804,0.015286,0.13752,1.5991,0,0
3.3945,0.014981,0.13579,1.6104,0,0
3.4077,0.014688,0.13407,1.6216,0,0
3.4198,0.014409,0.13234,1.6329,0,0
3.4318,0.014131,0.13062,1.6441,0,0
3.4551,0.013819,0.12924,1.6554,0,0
3.4818,0.013496,0.12797,1.6666,0,0
3.5022,0.013206,0.12659,1.6778,0,0
3.4689,0.013186,0.12428,1.6891,0,0
3.4357,0.013166,0.12197,1.7003,0,0
2.9297,0.034897,0.12861,1.7116,0,0
1.8325,0.083824,0.14643,1.7228,0,0
0.73529,0.13275,0.16425,1.7341,0,0
0.44873,0.15432,0.17594,1.7453,0,0
0.38795,0.16828,0.18591,1.7566,0,0
0.33449,0.18067,0.19482,1.7678,0,0
0.33483,0.18163,0.19589,1.7791,0,0
0.33517,0.1826,0.19696,1.7903,0,0
0.33231,0.18346,0.19764,1.8016,0,0
0.32565,0.1842,0.19788,1.8128,0,0
0.319,0.18494,0.19811,1.824,0,0
0.31197,0.18575,0.19841,1.8353,0,0
0.30485,0.18658,0.19873,1.8465,0,0
0.29783,0.18738,0.19902,1.8578,0,0
0.29154,0.18793,0.19912,1.869,0,0
0.28524,0.18848,0.19922,1.8803,0,0
0.27907,0.18898,0.19929,1.8915,0,0
0.27302,0.18942,0.19931,1.9028,0,0
0.26698,0.18986,0.19933,1.914,0,0
0.26036,0.19025,0.19929,1.9253,0,0
0.2536,0.19063,0.19922,1.9365,0,0
0.24669,0.191,0.19914,1.9478,0,0
0.2388,0.19132,0.19897,1.959,0,0
0.23091,0.19164,0.1988,1.9702,0,0
0.22298,0.19191,0.1986,1.9815,0,0
0.215,0.19214,0.19837,1.9927,0,0
0.20703,0.19237,0.19815,2.004,0,0
0.20012,0.19255,0.19796,2.0152,0,0
0.19345,0.19272,0.19778,2.0265,0,0
0.18698,0.19288,0.1976,2.0377,0,0
0.18165,0.19298,0.19744,2.049,0,0
0.17631,0.19307,0.19728,2.0602,0,0
0.1711,0.19318,0.19714,2.0715,0,0
0.16601,0.19328,0.19702,2.0827,0,0
0.16092,0.19339,0.1969,2.094,0,0
0.15583,0.19353,0.19682,2.1052,0,0
0.15073,0.19368,0.19676,2.1164,0,0
0.14573,0.19382,0.1967,2.1277,0,0
0.14118,0.19394,0.19665,2.1389,0,0
0.13663,0.19407,0.19661,2.1502,0,0
0.13206,0.19416,0.19653,2.1614,0,0
0.12746,0.19423,0.19644,2.1727,0,0
0.12287,0.19429,0.19635,2.1839,0,0
0.11823,0.19433,0.19624,2.1952,0,0
0.11359,0.19437,0.19613,2.2064,0,0
0.10906,0.19439,0.19601,2.2177,0,0
0.10502,0.19438,0.19588,2.2289,0,0
0.10098,0.19436,0.19575,2.2402,0,0
0.097589,0.19433,0.19562,2.2514,0,0
0.094783,0.19428,0.1955,2.2626,0,0
0.091977,0.19423,0.19538,2.2739,0,0
0.09037,0.19419,0.1953,2.2851,0,0
0.088955,0.19415,0.19522,2.2964,0,0
0.087748,0.19412,0.19516,2.3076,0,0
0.087379,0.19411,0.19515,2.3189,0,0
0.08701,0.1941,0.19513,2.3301,0,0
0.086803,0.19412,0.19514,2.3414,0,0
0.086735,0.19416,0.19518,2.3526,0,0
0.086668,0.19419,0.19521,2.3639,0,0
0.086687,0.19422,0.19524,2.3751,0,0
0.086719,0.19426,0.19528,2.3864,0,0
0.086763,0.19428,0.1953,2.3976,0,0
0.086853,0.19427,0.1953,2.4088,0,0
0.086943,0.19426,0.19529,2.4201,0,0
0.087066,0.19424,0.19527,2.4313,0,0
0.087217,0.1942,0.19524,2.4426,0,0
0.087367,0.19417,0.19521,2.4538,0,0
0.08763,0.19413,0.19517,2.4651,0,0
0.087908,0.19409,0.19514,2.4763,0,0
0.088254,0.19404,0.1951,2.4876,0,0
0.088834,0.19397,0.19504,2.4988,0,0
0.089415,0.1939,0.19498,2.5101,0,0
0.090304,0.1938,0.19491,2.5213,0,0
0.091432,0.19368,0.19482,2.5326,0,0
0.092559,0.19356,0.19472,2.5438,0,0
0.094427,0.1934,0.19461,2.555,0,0
0.096377,0.19323,0.19449,2.5663,0,0
0.098592,0.19305,0.19436,2.5775,0,0
0.10166,0.19282,0.19422,2.5888,0,0
0.10472,0.1926,0.19408,2.6,0,0
0.10856,0.19234,0.19393,2.6113,0,0
0.11296,0.19205,0.19377,2.6225,0,0
0.11736,0.19176,0.19361,2.6338,0,0
0.12303,0.19141,0.19344,2.645,0,0
0.12882,0.19104,0.19327,2.6563,0,0
0.13494,0.19066,0.19309,2.6675,0,0
0.14207,0.19022,0.19292,2.6788,0,0
0.14919,0.18978,0.19274,2.69,0,0
0.15722,0.18928,0.19257,2.7012,0,0
0.16587,0.18874,0.19239,2.7125,0,0
0.17452,0.1882,0.19222,2.7237,0,0
0.18468,0.18755,0.19205,2.735,0,0
0.19495,0.18689,0.19188,2.7462,0,0
0.20567,0.18619,0.19171,2.7575,0,0
0.21758,0.18538,0.19155,2.7687,0,0
0.2295,0.18457,0.19138,2.78,0,0
0.24237,0.18365,0.19122,2.7912,0,0
0.25585,0.18266,0.19106,2.8025,0,0
0.26934,0.18167,0.1909,2.8137,0,0
0.28423,0.18049,0.19073,2.825,0,0
0.29921,0.17929,0.19056,2.8362,0,0
0.31457,0.17804,0.19038,2.8474,0,0
0.33092,0.17662,0.1902,2.8587,0,0
0.34726,0.1752,0.19001,2.8699,0,0
0.36437,0.17363,0.1898,2.8812,0,0
0.38196,0.17197,0.18957,2.8924,0,0
0.39955,0.17032,0.18935,2.9037,0,0
0.41816,0.16843,0.18907,2.9149,0,0
0.43682,0.16653,0.18879,2.9262,0,0
0.4557,0.16456,0.1885,2.9374,0,0
0.47513,0.16245,0.18815,2.9487,0,0
0.49457,0.16034,0.18781,2.9599,0,0
0.51429,0.15813,0.18742,2.9712,0,0
0.53419,0.15585,0.187,2.9824,0,0
0.55408,0.15358,0.18658,2.9936,0,0
0.57433,0.15117,0.18608,3.0049,0,0
0.59459,0.14876,0.18558,3.0161,0,0
