,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum:0,Momentum:1,Momentum:2,Omega,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient:0,Skin_Friction_Coefficient:1,Skin_Friction_Coefficient:2,Temperature,Turb_Kin_Energy,Y_Plus,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
329,1.5342,0.93236,383030.0,0,1.9929e-05,0.20721,117.98,-7.1246,0,429.32,151220.0,-1158500.0,0,0,0,331.86,262.94,0,,24.05,15.95,0,0,155817.89472895252,155817.89472895252,6827.74621703066,347251.9770921859,1.0000511017771017
330,1.5398,0.98656,384640.0,0,1.9929e-05,0.21207,121.1,-7.4224,0,436.82,151770.0,-1157600.0,0,0,0,331.86,280.43,0,,24.123,16.023,0,0,156606.10708198106,156606.10708198106,6826.665721660471,347391.6569845038,1.0000513024522477
331,1.5405,1.0344,384980.0,0,1.992e-05,0.21987,125.49,-7.8067,0,441.25,151740.0,-1157600.0,0,0,0,331.65,296.88,0,,24.196,16.096,0,0,156941.75222778736,156941.75222778736,6826.0647108047715,347403.203006256,1.0000495847592794
332,1.5389,1.0792,384730.0,0,1.9905e-05,0.22905,130.47,-8.2314,0,444.25,151430.0,-1158200.0,0,0,0,331.33,312.85,0,,24.269,16.169,0,0,157069.45459811125,157069.45459811125,6825.667083344482,347350.9023570417,1.000046870490352
333,1.5373,1.1241,384470.0,0,1.9891e-05,0.23823,135.45,-8.6562,0,447.25,151130.0,-1158700.0,0,0,0,331.0,328.81,0,,24.342,16.242,0,0,157224.99541044707,157224.99541044707,6825.2185550854665,347299.0996142517,1.0000440772213717
334,1.5357,1.1689,384220.0,0,1.9876e-05,0.24741,140.44,-9.0809,0,450.25,150830.0,-1159200.0,0,0,0,330.68,344.78,0,,24.415,16.315,0,0,157398.03268102373,157398.03268102373,6824.801696616465,347268.8525100895,1.0000413647620472
335,1.5341,1.2138,383970.0,0,1.9862e-05,0.25658,145.42,-9.5056,0,453.25,150530.0,-1159800.0,0,0,0,330.36,360.74,0,,24.489,16.389,0,0,157588.0149995055,157588.0149995055,6824.385049013006,347249.24186653027,1.000038651553416
336,1.5325,1.2586,383720.0,0,1.9847e-05,0.26576,150.4,-9.9304,0,456.25,150230.0,-1160300.0,0,0,0,330.04,376.71,0,,24.562,16.462,0,0,157796.05144718013,157796.05144718013,6823.968615048072,347240.92679017084,1.0000359376099894
337,1.5309,1.3035,383470.0,0,1.9833e-05,0.27494,155.38,-10.355,0,459.25,149920.0,-1160900.0,0,0,0,329.72,392.68,0,,24.635,16.535,0,0,158011.07727375577,158011.07727375577,6823.572248858032,347243.55052295374,1.0000332204602307
338,1.5294,1.3483,383220.0,0,1.9818e-05,0.28411,160.36,-10.78,0,462.25,149620.0,-1161400.0,0,0,0,329.4,408.64,0,,24.708,16.608,0,0,158253.53474950377,158253.53474950377,6823.156290398799,347256.6556614207,1.000030505268203
339,1.5278,1.3932,382960.0,0,1.9804e-05,0.29329,165.34,-11.205,0,465.25,149320.0,-1161900.0,0,0,0,329.08,424.61,0,,24.781,16.681,0,0,158514.16158692318,158514.16158692318,6822.740554194146,347280.991979864,1.0000277893864573
340,1.5252,1.4313,382530.0,0,1.9784e-05,0.30381,170.81,-11.526,0,466.77,148870.0,-1162700.0,0,0,0,328.64,438.22,0,,24.854,16.754,0,0,158721.2321823906,158721.2321823906,6822.24424589591,347244.5706709628,1.0000240468784398
341,1.5221,1.4651,381970.0,0,1.9761e-05,0.31519,176.59,-11.781,0,467.35,148340.0,-1163700.0,0,0,0,328.13,450.32,0,,24.927,16.827,0,0,158923.86256808555,158923.86256808555,6821.686938394083,347184.79457527073,1.0000197084026419
342,1.5189,1.4989,381410.0,0,1.9737e-05,0.32657,182.37,-12.036,0,467.92,147800.0,-1164600.0,0,0,0,327.61,462.42,0,,25.0,16.9,0,0,159141.16222738207,159141.16222738207,6821.119257391314,347130.55147287995,1.0000152863545273
