,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,pi,s,ht,Z
761,1.4042,356230.0,0.39537,204.77,-1.3469,0,136510.0,5.1e+17,327.33,,55.629,47.529,0,0,152052.1630681206,152052.1630681206,6843.875351039471,350232.6137502321,1.0000116680387954
762,1.4015,355630.0,0.39974,206.57,-1.3824,0,136160.0,5.0493e+17,327.11,,55.702,47.602,0,0,152020.55126390985,152020.55126390985,6843.9385896848025,350233.12700148416,1.000009924268908
763,1.3987,355030.0,0.40412,208.37,-1.4179,0,135800.0,4.9985e+17,326.89,,55.775,47.675,0,0,151981.27701763855,151981.27701763855,6844.025237500215,350236.4863698014,1.0000081834157533
764,1.3957,354350.0,0.40887,210.29,-1.4445,0,135400.0,4.9419e+17,326.65,,55.848,47.748,0,0,151930.91362197825,151930.91362197825,6844.137595628974,350241.2048437886,1.000006288398808
765,1.3917,353460.0,0.41473,212.54,-1.4456,0,134890.0,4.8688e+17,326.34,,55.922,47.821,0,0,151854.35535902626,151854.35535902626,6844.27103728179,350235.7462210204,1.0000038485004983
766,1.3877,352580.0,0.42058,214.8,-1.4468,0,134370.0,4.7956e+17,326.03,,55.995,47.895,0,0,151770.092446531,151770.092446531,6844.429942654803,350233.77128831967,1.0000014164985473
767,1.3837,351690.0,0.42643,217.05,-1.4479,0,133860.0,4.7225e+17,325.71,,56.068,47.968,0,0,151701.48278485786,151701.48278485786,6844.538145385311,350224.9898305704,0.9999989155997081
768,1.3797,350800.0,0.43228,219.3,-1.449,0,133340.0,4.6494e+17,325.4,,56.141,48.041,0,0,151625.84734118398,151625.84734118398,6844.704008235531,350231.00884233584,0.9999965008274208
769,1.3757,349920.0,0.43814,221.56,-1.4502,0,132830.0,4.5762e+17,325.09,,56.214,48.114,0,0,151566.74965164077,151566.74965164077,6844.8510552159205,350241.58513441077,0.9999940946819798
770,1.3715,348990.0,0.44424,223.86,-1.4542,0,132280.0,4.4994e+17,324.76,,56.287,48.187,0,0,151487.89494872466,151487.89494872466,6845.027338970115,350248.9484481472,0.9999915429532821
771,1.3667,347940.0,0.45104,226.31,-1.4661,0,131670.0,4.4125e+17,324.38,,56.36,48.26,0,0,151408.80390827238,151408.80390827238,6845.1826493904555,350249.04814835824,0.9999886155849133
772,1.362,346890.0,0.45784,228.75,-1.4781,0,131060.0,4.3255e+17,323.99,,56.433,48.333,0,0,151335.18784150903,151335.18784150903,6845.310764453457,350243.56523269176,0.9999856226794918
773,1.3572,345850.0,0.46464,231.19,-1.49,0,130450.0,4.2386e+17,323.61,,56.506,48.406,0,0,151266.97158447377,151266.97158447377,6845.476026014516,350254.17544576415,0.9999827201427077
774,1.3524,344800.0,0.47143,233.63,-1.5019,0,129840.0,4.1516e+17,323.23,,56.579,48.479,0,0,151203.13131655668,151203.13131655668,6845.646366706242,350269.3804841955,0.9999798302308399
775,1.3477,343750.0,0.47823,236.08,-1.5139,0,129220.0,4.0647e+17,322.85,,56.653,48.553,0,0,151133.79866023723,151133.79866023723,6845.844869609178,350290.43440443825,0.9999769546102447
776,1.3424,342590.0,0.48529,238.52,-1.5228,0,128560.0,3.9702e+17,322.44,,56.726,48.626,0,0,151048.05431542505,151048.05431542505,6846.044410561204,350300.9304288272,0.9999738653378965
777,1.3356,341040.0,0.4932,240.97,-1.5215,0,127720.0,3.8508e+17,321.96,,56.799,48.699,0,0,150839.43510213812,150839.43510213812,6846.442645590948,350296.8732826388,0.9999702820447198
778,1.3288,339500.0,0.50111,243.41,-1.5203,0,126880.0,3.7314e+17,321.48,,56.872,48.772,0,0,150636.00268379052,150636.00268379052,6846.851447575659,350299.64293908956,0.9999667239157445
779,1.322,337940.0,0.50912,245.86,-1.5198,0,126030.0,3.6112e+17,320.99,,56.945,48.845,0,0,150435.86107740802,150435.86107740802,6847.2621289902745,350305.05673124985,0.9999631159214782
780,1.315,336370.0,0.51748,248.34,-1.5219,0,125160.0,3.4881e+17,320.47,,57.018,48.918,0,0,150252.8841053298,150252.8841053298,6847.633940964856,350308.6192712475,0.9999593062832547
781,1.308,334800.0,0.52584,250.82,-1.524,0,124300.0,3.3651e+17,319.95,,57.091,48.991,0,0,150087.47459264187,150087.47459264187,6847.993463699654,350319.615411495,0.9999555213491342
782,1.3009,333210.0,0.53434,253.32,-1.5245,0,123420.0,3.2403e+17,319.42,,57.164,49.064,0,0,149918.07789639602,149918.07789639602,6848.380086052987,350336.97493186645,0.9999516934656615
783,1.2934,331550.0,0.54343,255.87,-1.5186,0,122490.0,3.1085e+17,318.85,,57.237,49.137,0,0,149756.39873018465,149756.39873018465,6848.769715925197,350360.3884758786,0.9999476029526116
784,1.286,329880.0,0.55251,258.42,-1.5127,0,121560.0,2.9767e+17,318.28,,57.31,49.21,0,0,149599.69378038292,149599.69378038292,6849.173185507379,350391.6936292521,0.999943545815681
785,1.2784,328190.0,0.56173,260.97,-1.5053,0,120620.0,2.8428e+17,317.69,,57.383,49.284,0,0,149451.88716570224,149451.88716570224,6849.549827599191,350419.7999847549,0.9999393711635152
786,1.2701,326350.0,0.57163,263.52,-1.4903,0,119600.0,2.6975e+17,317.05,,57.457,49.357,0,0,149286.3124654266,149286.3124654266,6849.9756303713175,350452.4830733747,0.9999348826009272
787,1.2618,324500.0,0.58153,266.08,-1.4752,0,118570.0,2.5523e+17,316.4,,57.53,49.43,0,0,149114.3439696291,149114.3439696291,6850.411016888686,350483.9838711473,0.9999303635615834
788,1.2534,322640.0,0.59152,268.62,-1.4603,0,117540.0,2.4058e+17,315.75,,57.603,49.503,0,0,148958.4259226431,148958.4259226431,6850.8644805321655,350532.2671871201,0.9999258880740893
