"Mach","Pressure","Temperature","p","u","x","Points:0","Points:1","Points:2"
1.5137,2.1451e+05,231.13,0.267,469.26,0.080892,0.5258,0,0
1.5292,2.0967e+05,229.63,0.26097,472.53,0.092138,0.5989,0,0
1.5438,2.0531e+05,228.26,0.25554,475.58,0.10338,0.672,0,0
1.5581,2.0102e+05,226.89,0.2502,478.58,0.11463,0.7451,0,0
1.5725,1.9679e+05,225.51,0.24494,481.52,0.12588,0.8182,0,0
1.5865,1.9276e+05,224.19,0.23992,484.37,0.13712,0.8913,0,0
1.5997,1.8904e+05,222.95,0.23529,487.06,0.14837,0.9644,0,0
1.613,1.8536e+05,221.7,0.23071,489.71,0.15962,1.0375,0,0
1.6262,1.8171e+05,220.44,0.22617,492.33,0.17086,1.1106,0,0
1.6382,1.7853e+05,219.33,0.22221,494.7,0.18211,1.1837,0,0
1.6501,1.7537e+05,218.22,0.21828,497.05,0.19335,1.2568,0,0
1.6619,1.7228e+05,217.11,0.21443,499.33,0.2046,1.3299,0,0
1.6729,1.6946e+05,216.09,0.21092,501.46,0.21585,1.403,0,0
1.6835,1.6681e+05,215.13,0.20762,503.49,0.22709,1.4761,0,0
1.6937,1.6424e+05,214.17,0.20443,505.43,0.23834,1.5492,0,0
1.7036,1.6179e+05,213.26,0.20138,507.31,0.24958,1.6223,0,0
1.7127,1.596e+05,212.43,0.19865,509.03,0.26083,1.6954,0,0
1.7217,1.5745e+05,211.61,0.19598,510.69,0.27208,1.7685,0,0
1.7305,1.5535e+05,210.8,0.19336,512.32,0.28332,1.8416,0,0
1.7384,1.5351e+05,210.09,0.19107,513.79,0.29457,1.9147,0,0
1.7463,1.5168e+05,209.37,0.18879,515.25,0.30582,1.9878,0,0
1.7542,1.4985e+05,208.65,0.18651,516.68,0.31706,2.0609,0,0
1.7615,1.4819e+05,207.98,0.18445,518.02,0.32831,2.134,0,0
1.7689,1.4655e+05,207.33,0.1824,519.35,0.33955,2.2071,0,0
1.7764,1.4485e+05,206.64,0.18029,520.71,0.3508,2.2802,0,0
1.7838,1.4323e+05,205.97,0.17827,522.03,0.36205,2.3533,0,0
1.7912,1.4162e+05,205.31,0.17627,523.36,0.37329,2.4264,0,0
1.7993,1.3987e+05,204.59,0.17409,524.78,0.38454,2.4995,0,0
1.8073,1.3816e+05,203.87,0.17196,526.2,0.39578,2.5726,0,0
1.8154,1.3646e+05,203.15,0.16984,527.64,0.40703,2.6457,0,0
1.8245,1.3456e+05,202.34,0.16748,529.21,0.41828,2.7188,0,0
1.8336,1.3269e+05,201.53,0.16515,530.79,0.42952,2.7919,0,0
1.8428,1.3085e+05,200.73,0.16286,532.38,0.44077,2.865,0,0
1.8531,1.2878e+05,199.82,0.16029,534.12,0.45202,2.9381,0,0
1.8636,1.2669e+05,198.89,0.15769,535.91,0.46326,3.0112,0,0
1.8744,1.2459e+05,197.94,0.15507,537.73,0.47451,3.0843,0,0
1.8858,1.2241e+05,196.94,0.15236,539.63,0.48575,3.1574,0,0
1.8971,1.203e+05,195.97,0.14973,541.52,0.497,3.2305,0,0
1.9085,1.182e+05,194.99,0.14712,543.42,0.50825,3.3036,0,0
1.921,1.1592e+05,193.91,0.14429,545.46,0.51949,3.3767,0,0
1.9333,1.1376e+05,192.87,0.14159,547.46,0.53074,3.4498,0,0
1.9457,1.1158e+05,191.81,0.13889,549.49,0.54198,3.5229,0,0
1.9592,1.0926e+05,190.66,0.136,551.62,0.55323,3.596,0,0
1.9722,1.0709e+05,189.57,0.13329,553.7,0.56448,3.6691,0,0
1.9857,1.0487e+05,188.44,0.13053,555.82,0.57572,3.7422,0,0
2,1.0253e+05,187.23,0.12762,558.05,0.58697,3.8153,0,0
2.0147,1.0023e+05,186.02,0.12475,560.3,0.59822,3.8884,0,0
2.0291,98018,184.83,0.122,562.51,0.60946,3.9615,0,0
2.0437,95822,183.64,0.11927,564.72,0.62071,4.0346,0,0
2.0591,93504,182.37,0.11638,567.03,0.63195,4.1077,0,0
2.0741,91364,181.17,0.11372,569.25,0.6432,4.1808,0,0
2.0897,89147,179.9,0.11096,571.54,0.65445,4.2539,0,0
2.106,86884,178.59,0.10814,573.9,0.66569,4.327,0,0
2.1217,84790,177.35,0.10553,576.17,0.67694,4.4001,0,0
2.1386,82579,176.02,0.10278,578.54,0.68818,4.4732,0,0
2.1552,80449,174.71,0.10013,580.88,0.69943,4.5463,0,0
2.1717,78399,173.43,0.097581,583.18,0.71068,4.6194,0,0
2.1893,76238,172.06,0.094891,585.58,0.72192,4.6925,0,0
2.206,74283,170.78,0.092457,587.86,0.73317,4.7656,0,0
2.2236,72257,169.44,0.089936,590.21,0.74442,4.8387,0,0
