"Pressure","Points:0","Points:1","Points:2"
1.5958,16.389,0,0
1.5907,16.462,0,0
1.5857,16.535,0,0
1.5806,16.608,0,0
1.5755,16.681,0,0
1.5685,16.754,0,0
1.5602,16.827,0,0
1.5519,16.9,0,0
1.5436,16.973,0,0
1.5354,17.046,0,0
1.5271,17.119,0,0
1.5188,17.193,0,0
1.5105,17.266,0,0
1.5023,17.339,0,0
1.4935,17.412,0,0
1.4842,17.485,0,0
1.4749,17.558,0,0
1.4656,17.631,0,0
1.4563,17.704,0,0
1.447,17.777,0,0
1.4377,17.851,0,0
1.4284,17.924,0,0
1.4191,17.997,0,0
1.4095,18.07,0,0
1.399,18.143,0,0
1.3885,18.216,0,0
1.378,18.289,0,0
1.3675,18.362,0,0
1.357,18.435,0,0
1.3466,18.508,0,0
1.3361,18.581,0,0
1.3256,18.655,0,0
1.3151,18.728,0,0
1.3035,18.801,0,0
1.292,18.874,0,0
1.2804,18.947,0,0
1.2689,19.02,0,0
1.2573,19.093,0,0
1.2457,19.166,0,0
1.2342,19.239,0,0
1.2226,19.312,0,0
1.2111,19.386,0,0
1.1992,19.459,0,0
1.1871,19.532,0,0
1.1751,19.605,0,0
1.1631,19.678,0,0
1.151,19.751,0,0
1.139,19.824,0,0
1.127,19.897,0,0
1.115,19.97,0,0
1.1029,20.043,0,0
1.091,20.117,0,0
1.0793,20.19,0,0
1.0676,20.263,0,0
1.0559,20.336,0,0
1.0442,20.409,0,0
1.0325,20.482,0,0
1.0208,20.555,0,0
1.0091,20.628,0,0
0.99744,20.701,0,0
0.98574,20.774,0,0
0.9748,20.848,0,0
0.96396,20.921,0,0
0.95312,20.994,0,0
0.94228,21.067,0,0
0.93145,21.14,0,0
0.92061,21.213,0,0
0.90977,21.286,0,0
0.89893,21.359,0,0
0.8881,21.432,0,0
0.8777,21.505,0,0
0.86808,21.579,0,0
0.85845,21.652,0,0
0.84883,21.725,0,0
0.83921,21.798,0,0
0.82958,21.871,0,0
0.81996,21.944,0,0
0.81034,22.017,0,0
0.80071,22.09,0,0
0.79109,22.163,0,0
0.7827,22.236,0,0
0.77465,22.31,0,0
0.76659,22.383,0,0
0.75853,22.456,0,0
0.75048,22.529,0,0
0.74242,22.602,0,0
0.73437,22.675,0,0
0.72631,22.748,0,0
0.71826,22.821,0,0
0.7105,22.894,0,0
0.7045,22.968,0,0
0.69851,23.041,0,0
0.69251,23.114,0,0
0.68652,23.187,0,0
0.68052,23.26,0,0
0.67453,23.333,0,0
0.66853,23.406,0,0
0.66254,23.479,0,0
0.65654,23.552,0,0
0.65171,23.625,0,0
0.64841,23.698,0,0
0.64511,23.772,0,0
0.64181,23.845,0,0
0.63851,23.918,0,0
0.63521,23.991,0,0
0.63191,24.064,0,0
0.62861,24.137,0,0
0.62531,24.21,0,0
0.62202,24.283,0,0
0.62002,24.356,0,0
0.61871,24.43,0,0
0.6174,24.503,0,0
0.61609,24.576,0,0
0.61478,24.649,0,0
0.61347,24.722,0,0
0.61216,24.795,0,0
0.61085,24.868,0,0
0.60954,24.941,0,0
0.60823,25.014,0,0
0.60741,25.087,0,0
0.6067,25.16,0,0
0.60598,25.234,0,0
0.60527,25.307,0,0
0.60455,25.38,0,0
0.60384,25.453,0,0
0.60312,25.526,0,0
0.60241,25.599,0,0
0.60169,25.672,0,0
0.60098,25.745,0,0
0.60127,25.818,0,0
0.60166,25.892,0,0
0.60205,25.965,0,0
0.60244,26.038,0,0
0.60283,26.111,0,0
0.60322,26.184,0,0
0.60361,26.257,0,0
0.60401,26.33,0,0
0.6044,26.403,0,0
0.60479,26.476,0,0
0.60905,26.549,0,0
0.61361,26.622,0,0
0.61816,26.696,0,0
0.62272,26.769,0,0
0.62728,26.842,0,0
0.63183,26.915,0,0
0.63639,26.988,0,0
0.64095,27.061,0,0
0.6455,27.134,0,0
0.65006,27.207,0,0
0.65916,27.28,0,0
0.66886,27.354,0,0
0.67855,27.427,0,0
0.68825,27.5,0,0
0.69794,27.573,0,0
0.70764,27.646,0,0
0.71734,27.719,0,0
0.72703,27.792,0,0
0.73673,27.865,0,0
0.74642,27.938,0,0
0.76003,28.011,0,0
0.77479,28.084,0,0
0.78955,28.158,0,0
0.80431,28.231,0,0
0.81907,28.304,0,0
0.83384,28.377,0,0
0.8486,28.45,0,0
0.86336,28.523,0,0
0.87812,28.596,0,0
0.89288,28.669,0,0
0.90832,28.742,0,0
0.92424,28.816,0,0
0.94015,28.889,0,0
0.95606,28.962,0,0
0.97197,29.035,0,0
0.98789,29.108,0,0
1.0038,29.181,0,0
1.0197,29.254,0,0
1.0356,29.327,0,0
1.0515,29.4,0,0
1.0666,29.473,0,0
1.0802,29.546,0,0
1.0937,29.62,0,0
1.1073,29.693,0,0
1.1208,29.766,0,0
1.1343,29.839,0,0
1.1479,29.912,0,0
1.1614,29.985,0,0
1.175,30.058,0,0
1.1885,30.131,0,0
1.202,30.204,0,0
1.2129,30.278,0,0
1.2237,30.351,0,0
1.2346,30.424,0,0
1.2455,30.497,0,0
1.2563,30.57,0,0
1.2672,30.643,0,0
1.2781,30.716,0,0
1.289,30.789,0,0
1.2998,30.862,0,0
1.3107,30.935,0,0
1.3199,31.008,0,0
1.3282,31.082,0,0
1.3365,31.155,0,0
1.3447,31.228,0,0
1.353,31.301,0,0
1.3613,31.374,0,0
1.3696,31.447,0,0
1.3778,31.52,0,0
1.3861,31.593,0,0
1.3944,31.666,0,0
1.402,31.74,0,0
1.4062,31.813,0,0
1.4104,31.886,0,0
