"Mach","p","tp","x","Points:0","Points:1","Points:2"
1.7324,0.19228,1.0004,0.58697,3.8153,0,0
1.7381,0.19061,1.0005,0.59822,3.8884,0,0
1.7469,0.1881,1.0005,0.60946,3.9615,0,0
1.7585,0.18483,1.0005,0.62071,4.0346,0,0
1.7731,0.18076,1.0006,0.63195,4.1077,0,0
1.7906,0.17601,1.0006,0.6432,4.1808,0,0
1.8097,0.17096,1.0006,0.65445,4.2539,0,0
1.8303,0.16566,1.0007,0.66569,4.327,0,0
1.8526,0.16007,1.0005,0.67694,4.4001,0,0
1.875,0.15471,1.0009,0.68818,4.4732,0,0
1.8989,0.14911,1.0009,0.69943,4.5463,0,0
1.9242,0.14328,1.0003,0.71068,4.6194,0,0
1.9496,0.1377,0.99991,0.72192,4.6925,0,0
1.9749,0.13239,0.99964,0.73317,4.7656,0,0
1.9994,0.12745,0.99979,0.74442,4.8387,0,0
2.0242,0.12265,0.9999,0.75566,4.9118,0,0
2.0498,0.11779,0.99963,0.76691,4.9849,0,0
2.0739,0.11348,0.99988,0.77815,5.058,0,0
2.099,0.1091,0.99959,0.7894,5.1311,0,0
2.1241,0.10487,0.99925,0.80065,5.2042,0,0
2.1489,0.10085,0.99898,0.81189,5.2773,0,0
2.1733,0.097026,0.99872,0.82314,5.3504,0,0
2.1962,0.093636,0.99889,0.83438,5.4235,0,0
2.2203,0.090145,0.99852,0.84563,5.4966,0,0
2.2432,0.086966,0.99852,0.85688,5.5697,0,0
2.2664,0.083868,0.9984,0.86812,5.6428,0,0
2.29,0.080786,0.99808,0.87937,5.7159,0,0
2.3132,0.07789,0.99796,0.89062,5.789,0,0
2.3349,0.075295,0.99808,0.90186,5.8621,0,0
2.3578,0.072634,0.99773,0.91311,5.9352,0,0
2.3794,0.070226,0.99775,0.92435,6.0083,0,0
2.4013,0.067851,0.99758,0.9356,6.0814,0,0
2.4229,0.0656,0.99751,0.94685,6.1545,0,0
2.4441,0.063467,0.99749,0.95809,6.2276,0,0
2.466,0.061316,0.99715,0.96934,6.3007,0,0
2.4873,0.059299,0.99705,0.98058,6.3738,0,0
2.5075,0.057468,0.99714,0.99183,6.4469,0,0
2.5291,0.055556,0.99676,1.0031,6.52,0,0
2.549,0.053869,0.99684,1.0143,6.5931,0,0
2.5699,0.052142,0.99658,1.0256,6.6662,0,0
2.5906,0.050481,0.99639,1.0368,6.7393,0,0
2.6112,0.048895,0.99623,1.0481,6.8124,0,0
2.6304,0.047459,0.99626,1.0593,6.8855,0,0
2.65,0.046043,0.99611,1.0706,6.9586,0,0
2.669,0.044709,0.99607,1.0818,7.0317,0,0
2.6881,0.043406,0.99594,1.093,7.1048,0,0
2.7078,0.042107,0.99572,1.1043,7.1779,0,0
2.7265,0.040909,0.99573,1.1155,7.251,0,0
2.7453,0.039747,0.99568,1.1268,7.3241,0,0
2.7641,0.038614,0.9956,1.138,7.3972,0,0
2.7825,0.03754,0.99557,1.1493,7.4703,0,0
2.8009,0.036496,0.9955,1.1605,7.5434,0,0
2.819,0.035499,0.99537,1.1718,7.6165,0,0
2.8367,0.034553,0.99532,1.183,7.6896,0,0
2.8545,0.033625,0.99517,1.1943,7.7627,0,0
2.8726,0.032712,0.9951,1.2055,7.8358,0,0
2.8896,0.031882,0.99522,1.2168,7.9089,0,0
2.9068,0.031066,0.99525,1.228,7.982,0,0
2.9248,0.03022,0.99499,1.2392,8.0551,0,0
2.9425,0.029421,0.9949,1.2505,8.1282,0,0
2.9592,0.028692,0.99493,1.2617,8.2013,0,0
2.9766,0.027945,0.99472,1.273,8.2744,0,0
2.993,0.027265,0.99473,1.2842,8.3475,0,0
3.0095,0.026595,0.99463,1.2955,8.4206,0,0
3.0259,0.025947,0.99452,1.3067,8.4937,0,0
3.0426,0.025305,0.99441,1.318,8.5668,0,0
