"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          90,      -1.294662349,       1.574437351,       1.435430271,       4.326221957,        1.72333805,       3.193892521
          0,           0,          91,      -1.335087044,       1.563220053,       1.344283634,       4.301272679,       1.713207201,       3.113808387
          0,           0,          92,      -1.386152244,       1.551993032,       1.261656795,       4.231547217,       1.703677249,       3.147749133
          0,           0,          93,      -1.400234865,       1.547662501,       1.214308731,       4.226499051,       1.698278102,       3.200073997
          0,           0,          94,      -1.324430801,       1.563853541,       1.425187605,       4.304009798,       1.710102995,       3.198206498
          0,           0,          95,      -1.249065051,       1.569460576,       1.588411791,       4.354590623,       1.707945632,       3.150934373
          0,           0,          96,      -1.237216769,       1.574637708,         1.5270467,       4.378674792,       1.701473671,        3.22192916
          0,           0,          97,      -1.322514744,       1.567944796,       1.414233055,       4.316137138,        1.69797811,       3.281447174
          0,           0,          98,      -1.380763299,        1.56111037,       1.331404006,       4.250353028,       1.695069564,       3.198951192
          0,           0,          99,      -1.370988759,       1.557572035,       1.296431633,       4.245068352,       1.697036414,       3.118557812
          0,           0,         100,      -1.326132469,       1.570334667,       1.361971255,       4.286346705,       1.712767143,       3.142469652
          0,           0,         101,      -1.360545621,       1.562918775,       1.297840883,       4.260906339,        1.71321504,       3.185281545
          0,           0,         102,      -1.358558705,       1.557947187,       1.380951847,       4.261116193,       1.709470599,       3.179410837
          0,           0,         103,      -1.281087553,       1.555013024,       1.561451497,       4.324713114,       1.707068483,       3.147667741
          0,           0,         104,       -1.25321824,        1.56137051,       1.506217734,       4.348322416,       1.705938335,       3.241329262
          0,           0,         105,      -1.302942329,       1.576720953,       1.433697204,       4.292954679,        1.70830944,       3.290254217
          0,           0,         106,      -1.318010617,       1.579393224,       1.417636355,       4.285870498,       1.719281149,        3.20444094
          0,           0,         107,      -1.301747556,       1.577325565,       1.399131608,       4.322768036,        1.71465737,       3.130823362
          0,           0,         108,      -1.342910862,       1.564418944,       1.320648324,       4.298905095,       1.704309001,       3.145090305
          0,           0,         109,      -1.389015976,       1.555074767,       1.230730483,       4.265815134,       1.696597677,        3.17902776
          0,           0,         110,      -1.376319233,       1.554001065,       1.358044647,       4.255650249,       1.691628415,       3.168273432
          0,           0,         111,       -1.27975888,       1.557705404,       1.561839014,       4.325320365,       1.686466929,       3.163064762
          0,           0,         112,      -1.238086886,       1.569368322,       1.521777754,       4.352592564,       1.687624248,       3.281902098
          0,           0,         113,      -1.298008779,        1.57449921,       1.435858912,       4.312421581,       1.653425004,       3.322898624
          0,           0,         114,      -1.415166172,       1.467106188,       1.332867763,       4.212875793,       1.615798702,         3.1392108
          0,           0,         115,      -1.576525534,       1.385098001,       1.178704732,       4.068242211,       1.612974626,       2.993215912
          0,           0,         116,      -1.589569222,       1.256143604,       1.104738322,        4.08443813,       1.612254892,       2.958765153
          0,           0,         117,      -1.498384631,       1.340847786,       1.167132062,       4.138702212,       1.612824027,       3.011179451
          0,           0,         118,      -1.498561271,       1.433580837,       1.125929284,       4.174281106,       1.615699859,        3.12034311
          0,           0,         119,      -1.451547429,       1.472895055,       1.163305861,       4.201962444,       1.618362522,       3.200712781
          0,           0,         120,       -1.36745797,       1.530089161,       1.306868238,       4.274486988,       1.624300446,       3.245464273
          0,           0,         121,      -1.334511059,       1.561638263,       1.346058096,       4.297134057,       1.606807256,       3.099213786
          0,           0,         122,      -1.398899214,       1.461665567,       1.304417353,       4.214191426,       1.576688052,       2.951682135
          0,           0,         123,      -1.541711678,       1.386414651,       1.140459447,       4.096376517,       1.565926206,       2.830272958
          0,           0,         124,      -1.574550154,       1.228505109,       1.098463976,       4.046619273,       1.565891567,       2.878156801
          0,           0,         125,      -1.533466007,       1.309374115,       1.128959547,       4.109335602,        1.56568537,       2.894348111
          0,           0,         126,      -1.486511188,       1.408013654,       1.212429329,        4.18478171,       1.568867572,       2.929248152
          0,           0,         127,      -1.407796932,         1.4465181,       1.416273736,       4.251276191,       1.574053095,        2.96705639
          0,           0,         128,      -1.331102212,        1.51137517,        1.46936372,       4.293078118,       1.592928355,       3.108846395
          0,           0,         129,      -1.324211985,       1.537682968,       1.398986365,       4.299058361,       1.572868346,       3.214470662
          0,           0,         130,      -1.467961565,       1.416835545,       1.285866684,       4.189784125,       1.530543874,        3.12042733
          0,           0,         131,      -1.613808286,       1.355305709,        1.15740573,        4.03022231,       1.529577611,       3.017763052
          0,           0,         132,      -1.645174857,       1.160075878,       1.074523973,       4.033579853,       1.530361167,       2.984802489
          0,           0,         133,      -1.567200488,       1.275237002,       1.114556015,       4.135104486,       1.534426834,       2.992835721
          0,           0,         134,      -1.531400317,       1.382570016,         1.1209308,       4.149263947,       1.540898229,       3.060151789
          0,           0,         135,      -1.489338586,       1.411818661,       1.133528011,       4.163684922,       1.551676063,       3.117051798
          0,           0,         136,      -1.400944421,       1.513958424,        1.28605415,       4.230688351,       1.584578026,       3.110576177
          0,           0,         137,      -1.350572314,       1.544476184,       1.423829353,        4.27997558,       1.598474266,       3.007290221
          0,           0,         138,      -1.261986867,       1.552676491,       1.581003878,       4.336882256,       1.607036105,         3.0412991
          0,           0,         139,      -1.255235593,       1.548225126,       1.517349371,        4.33729843,       1.575617488,       3.232321838
          0,           0,         140,      -1.383378274,       1.452391851,       1.388380274,       4.231890867,       1.530055895,       3.186647711
          0,           0,         141,      -1.553115743,       1.373424167,          1.238659,        4.11683164,        1.52990824,       3.033209758
          0,           0,         142,      -1.548268913,       1.210892671,       1.186452984,       4.083673987,       1.532181458,       3.007758189
          0,           0,         143,      -1.533671094,       1.299848537,       1.162071894,       4.118027595,       1.537512474,       2.942336595
          0,           0,         144,      -1.492147899,       1.405522709,       1.168423206,        4.16164163,       1.546638322,       2.907798938
          0,           0,         145,      -1.458246644,       1.437079904,       1.173717346,       4.221733037,       1.557838571,       3.006478008
