,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,s,Z
62,6.6449,1721800.0,0.61269,1475.2,-2.5207,0,623200.0,7.4213e+18,315.78,,4.5322,-3.5678,0,0,3710.6481391673783,0.9999952230106247
63,6.5963,1711000.0,0.62552,1492.9,-2.4627,0,616830.0,7.3307e+18,314.85,,4.6053,-3.4947,0,0,3710.6383896143416,1.0000113787346003
64,6.5465,1700000.0,0.63851,1510.1,-2.402,0,610320.0,7.2382e+18,313.9,,4.6784,-3.4216,0,0,3710.6454143684277,1.0000015304290037
65,6.4954,1688600.0,0.65167,1526.8,-2.3364,0,603660.0,7.1437e+18,312.91,,4.7515,-3.3485,0,0,3710.6273523567015,1.0000244226916726
66,6.4432,1677000.0,0.66498,1543.0,-2.2646,0,596880.0,7.0474e+18,311.91,,4.8246,-3.2754,0,0,3710.647135957386,0.9999992325699496
67,6.39,1665100.0,0.67844,1558.6,-2.1863,0,589990.0,6.9495e+18,310.87,,4.8977,-3.2023,0,0,3710.6297249201343,1.0000196412271405
68,6.3357,1652900.0,0.69204,1573.6,-2.1019,0,582990.0,6.8501e+18,309.82,,4.9708,-3.1292,0,0,3710.652186073906,1.0000013851406002
69,6.2805,1640500.0,0.70577,1588.1,-2.0124,0,575890.0,6.7493e+18,308.74,,5.0439,-3.0561,0,0,3710.6583480665035,0.999990716559815
70,6.2243,1627900.0,0.71965,1602.0,-1.9186,0,568690.0,6.6472e+18,307.63,,5.117,-2.983,0,0,3710.6536754750396,0.9999998620109564
71,6.1674,1615100.0,0.73364,1615.2,-1.8233,0,561420.0,6.5439e+18,306.5,,5.1901,-2.9099,0,0,3710.6488088532346,0.9999973180578501
72,6.1096,1602000.0,0.74775,1627.8,-1.7261,0,554070.0,6.4396e+18,305.35,,5.2632,-2.8368,0,0,3710.6542473405048,0.9999942084909569
73,6.0511,1588800.0,0.76198,1639.7,-1.6263,0,546660.0,6.3342e+18,304.17,,5.3363,-2.7637,0,0,3710.6368641690033,1.0000233480755776
74,5.9919,1575400.0,0.77631,1651.0,-1.5242,0,539170.0,6.228e+18,302.98,,5.4094,-2.6906,0,0,3710.646255096499,0.9999787065869206
75,5.932,1561800.0,0.79075,1661.5,-1.4205,0,531640.0,6.1209e+18,301.76,,5.4825,-2.6175,0,0,3710.634416578104,0.9999962850186916
76,5.8714,1548000.0,0.80529,1671.3,-1.3156,0,524050.0,6.0132e+18,300.52,,5.5556,-2.5444,0,0,3710.6267207617325,1.0000028260436702
