,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,pt,Z
885,0.73112,208540.0,1.5667,352.43,1.2174,0,49438.0,-7.2653e+17,227.67,,64.693,56.593,0,0,181521.34442805962,0.9993790832234729
886,0.73207,208750.0,1.5655,352.67,1.0984,0,49521.0,-7.2534e+17,227.76,,64.767,56.667,0,0,181590.87872846794,0.9993791555120566
887,0.73302,208970.0,1.5643,352.92,0.97947,0,49605.0,-7.2416e+17,227.85,,64.84,56.74,0,0,181663.48136592563,0.9993792173331415
888,0.73397,209190.0,1.563,353.16,0.8605,0,49688.0,-7.2298e+17,227.93,,64.913,56.813,0,0,181712.18915658252,0.9993791700331514
889,0.73492,209400.0,1.5618,353.41,0.74154,0,49771.0,-7.2179e+17,228.02,,64.986,56.886,0,0,181779.92293877256,0.9993792484047642
890,0.73587,209620.0,1.5606,353.65,0.62258,0,49855.0,-7.2061e+17,228.11,,65.059,56.959,0,0,181850.71356598032,0.999379316357761
891,0.73682,209840.0,1.5593,353.9,0.50362,0,49938.0,-7.1943e+17,228.19,,65.132,57.032,0,0,181897.5786221864,0.9993792750343081
892,0.73777,210050.0,1.5581,354.14,0.38465,0,50021.0,-7.1824e+17,228.28,,65.205,57.105,0,0,181963.52138882104,0.9993793594420007
893,0.73872,210270.0,1.5568,354.39,0.2657,0,50105.0,-7.1706e+17,228.37,,65.278,57.178,0,0,182012.79859932014,0.9993794334797947
894,0.73967,210480.0,1.5556,354.63,0.14673,0,50188.0,-7.1588e+17,228.46,,65.351,57.251,0,0,182077.5456442595,0.9993795219036495
895,0.74277,211250.0,1.5522,355.54,-0.078883,0,50461.0,-7.12e+17,228.74,,65.424,57.325,0,0,182394.58859051616,0.9993796282517085
896,0.74634,212130.0,1.5482,356.6,-0.32788,0,50775.0,-7.0754e+17,229.06,,65.498,57.398,0,0,182734.4695024068,0.9993797512489664
897,0.74991,213010.0,1.5443,357.65,-0.5769,0,51090.0,-7.0307e+17,229.39,,65.571,57.471,0,0,183090.25800339322,0.999380013841288
898,0.75541,214390.0,1.5375,359.15,-0.81023,0,51603.0,-6.9578e+17,229.99,,65.644,57.544,0,0,183563.9124785273,0.9993812772371115
899,0.76225,216100.0,1.5288,360.95,-1.0327,0,52254.0,-6.8654e+17,230.8,,65.717,57.617,0,0,184121.18177977155,0.9993835875256637
900,0.76909,217810.0,1.5201,362.75,-1.2552,0,52904.0,-6.7731e+17,231.6,,65.79,57.69,0,0,184642.10545954303,0.999385899220097
901,0.77758,219960.0,1.5094,364.98,-1.4183,0,53720.0,-6.6571e+17,232.61,,65.863,57.763,0,0,185295.63596688345,0.9993890279935486
902,0.78898,222870.0,1.4953,367.95,-1.4773,0,54828.0,-6.4999e+17,233.97,,65.936,57.836,0,0,186192.46684268359,0.9993934048268078
903,0.80314,226440.0,1.4778,371.45,-1.6203,0,56213.0,-6.3032e+17,235.64,,66.009,57.909,0,0,187216.70147473254,0.9993989260785441
904,0.81904,230440.0,1.4583,375.31,-1.7282,0,57778.0,-6.081e+17,237.51,,66.082,57.982,0,0,188272.87528107644,0.9994054911162684
905,0.84026,235840.0,1.4332,380.34,-1.4317,0,59901.0,-5.7795e+17,239.99,,66.156,58.056,0,0,189738.0130051885,0.9994145593384984
906,0.86166,241260.0,1.4082,385.18,-1.2029,0,62063.0,-5.4725e+17,242.48,,66.229,58.129,0,0,191067.95622409158,0.9994243111320059
907,0.88321,246690.0,1.3831,389.84,-1.0363,0,64261.0,-5.1604e+17,244.97,,66.302,58.202,0,0,192212.1531688662,0.9994346374311758
908,0.90433,252090.0,1.3606,394.44,-0.96161,0,66423.0,-4.8534e+17,247.27,,66.375,58.275,0,0,193570.43569701898,0.9994438386378941
909,0.92517,257370.0,1.3385,398.82,-0.91906,0,68563.0,-4.5494e+17,249.51,,66.448,58.348,0,0,194724.31717034322,0.9994532849674925
910,0.94545,262380.0,1.3168,402.63,-0.93436,0,70658.0,-4.2519e+17,251.61,,66.521,58.421,0,0,195628.29978112795,0.999462127126688
911,0.96867,268080.0,1.2919,406.59,-0.95465,0,73095.0,-3.9059e+17,254.03,,66.594,58.494,0,0,196509.564737164,0.9994729697304637
912,0.99358,274180.0,1.2653,410.64,-0.97521,0,75728.0,-3.5319e+17,256.62,,66.667,58.567,0,0,197249.18823893988,0.9994853281284758
913,1.0231,281390.0,1.2347,414.85,-0.92268,0,78905.0,-3.0809e+17,259.63,,66.74,58.64,0,0,198133.31310949774,0.9995000822520961
914,1.0531,288680.0,1.2037,418.75,-0.76676,0,82162.0,-2.6183e+17,262.66,,66.813,58.713,0,0,198754.4509725293,0.9995158183220522
915,1.0837,296100.0,1.1723,422.21,-0.45946,0,85538.0,-2.1388e+17,265.73,,66.886,58.786,0,0,199213.2034659108,0.9995325485004306
916,1.1151,303670.0,1.1413,425.43,-0.34308,0,89005.0,-1.6465e+17,268.75,,66.96,58.86,0,0,199644.8221608735,0.9995494073638115
