,Density,Energy,Mach,Momentum:0,Momentum:1,Momentum:2,Pressure,Pressure_Coefficient,Temperature,vtkValidPointMask,arc_length,Points:0,Points:1,Points:2,Ptot,Z
91,4.9145,1326000.0,1.0325,1730.8,0.23832,0,408480.0,4.3721e+18,279.85,,6.6521,-1.4479,0,0,804830.2463771466,0.9985085243253378
92,4.8486,1310400.0,1.0483,1729.1,0.34214,0,400830.0,4.2634e+18,278.34,,6.7252,-1.3748,0,0,804755.3378481988,0.998468537135586
93,4.7824,1294700.0,1.0643,1726.7,0.44174,0,393190.0,4.1549e+18,276.82,,6.7983,-1.3017,0,0,804684.1327127441,0.9984291567167303
94,4.716,1278900.0,1.0803,1723.6,0.53857,0,385560.0,4.0466e+18,275.27,,6.8714,-1.2286,0,0,804395.8431761372,0.9983895178257549
95,4.6492,1263000.0,1.0966,1719.8,0.63692,0,377940.0,3.9384e+18,273.71,,6.9445,-1.1555,0,0,804154.3251793301,0.9983505615875939
96,4.5822,1246900.0,1.1129,1715.4,0.73615,0,370340.0,3.8304e+18,272.12,,7.0176,-1.0824,0,0,803663.6687245762,0.9983113768346609
97,4.5149,1230800.0,1.1295,1710.3,0.83648,0,362740.0,3.7225e+18,270.51,,7.0907,-1.0093,0,0,803146.7394621351,0.9982725459520482
98,4.4472,1214500.0,1.1463,1704.5,0.93866,0,355140.0,3.6146e+18,268.88,,7.1638,-0.9362,0,0,802478.9951415126,0.9982341206535142
99,4.379,1198000.0,1.1633,1697.9,1.0439,0,347540.0,3.5067e+18,267.22,,7.2369,-0.8631,0,0,801632.9864520796,0.9981956958112026
100,4.3103,1181400.0,1.1805,1690.7,1.1527,0,339940.0,3.3987e+18,265.54,,7.31,-0.79,0,0,800580.9933584011,0.9981577878549522
101,4.2412,1164600.0,1.198,1682.7,1.2583,0,332320.0,3.2906e+18,263.82,,7.3831,-0.7169,0,0,799343.4118028864,0.9981196440879717
102,4.1714,1147700.0,1.2158,1674.1,1.3672,0,324700.0,3.1823e+18,262.08,,7.4562,-0.6438,0,0,797936.7222582586,0.9980821521151282
103,4.1011,1130500.0,1.2339,1664.7,1.4782,0,317060.0,3.0739e+18,260.3,,7.5293,-0.5707,0,0,796280.0824550904,0.9980445730638715
